id,instrumentid,footprint
162,49,"POLYGON ((57.65625 17.58278, 56.95312 19.47122, 56.25 21.38194, 55.54687 22.02431, 54.14062 24.62432, 53.4375 25.2826, 52.73438 25.94448, 52.03125 26.6101, 51.32813 27.27961, 50.625 27.95319, 49.92187 28.63099, 46.40625 30.69159, 45.70312 31.38817, 42.89062 32.79717, 42.1875 33.51006, 40.07812 34.22887, 37.26562 35.68533, 35.15625 36.42357, 28.82812 38.68219, 23.20312 40.22818, 18.28125 41.0145, 13.35938 41.81031, 11.95312 41.81031, 3.57143 42.60981, 2.14286 42.60981, 0.71429 42.60981, -0.7142900000000054 42.60981, -2.142859999999985 42.60981, -3.571430000000021 42.60981, -11.95312000000001 41.81031, -13.35937999999999 41.81031, -18.28125 41.0145, -23.20312000000001 40.22818, -28.82812000000001 38.68219, -35.15625 36.42357, -37.26562000000001 35.68533, -40.07812999999999 34.22887, -42.1875 33.51006, -42.89062999999999 32.79717, -45.70312000000001 31.38817, -46.40625 30.69159, -49.92187999999999 28.63099, -50.625 27.95319, -51.32812000000001 27.27961, -52.03125 26.6101, -52.73437999999999 25.94448, -53.4375 25.2826, -54.14062000000001 24.62432, -55.54687999999999 22.02431, -56.25 21.38194, -56.95312000000001 19.47122, -57.65625 17.58278, -58.35937999999999 14.47751, -59.0625 11.41516, -59.0625 10.19992, -59.0625 8.9893, -59.0625 7.78271, -59.0625 6.57959, -61.17187999999999 2.38802, -60.46875 0.59684, -59.76562000000001 -1.19375, -59.0625 -2.98551, -58.35937999999999 -3.58332, -57.65625 -5.37938, -56.95312000000001 -7.18076, -56.25 -8.9893, -55.54687999999999 -9.59407, -54.84375 -11.41516, -54.14062000000001 -13.24801, -53.4375 -13.86195, -52.73437999999999 -15.71386, -52.03125 -17.58278, -51.32812000000001 -18.20996, -50.625 -20.10551, -49.92187999999999 -20.74238, -49.21875 -22.66961, -48.51562000000001 -23.31796, -47.8125 -23.96948, -45.70312000000001 -27.27961, -45 -27.95319, -44.29687999999999 -28.63099, -43.59375 -29.3132, -42.89062999999999 -30, -40.07812999999999 -31.38817, -39.375 -32.08995, -38.67187999999999 -32.79717, -35.85937999999999 -34.22887, -35.15625 -34.95387, -33.04687999999999 -35.68533, -30.9375 -36.42357, -30.23437999999999 -37.1689, -28.125 -37.92165, -26.01562999999999 -38.68219, -24.60937999999999 -38.68219, -22.5 -39.45089, -20.39062000000001 -40.22818, -18.98437999999999 -40.22818, -15.46875 -41.0145, -11.95312000000001 -41.81031, -10.54687999999999 -41.81031, -3.571430000000021 -42.60981, -2.142859999999985 -42.60981, -0.7142900000000054 -42.60981, 0.71429 -42.60981, 2.14286 -42.60981, 3.57143 -42.60981, 10.54688 -41.81031, 11.95312 -41.81031, 15.46875 -41.0145, 18.98438 -40.22818, 20.39062 -40.22818, 22.5 -39.45089, 24.60938 -38.68219, 26.01562 -38.68219, 28.125 -37.92165, 30.23438 -37.1689, 30.9375 -36.42357, 33.04687 -35.68533, 35.15625 -34.95387, 35.85938 -34.22887, 38.67187 -32.79717, 39.375 -32.08995, 40.07812 -31.38817, 42.89062 -30, 43.59375 -29.3132, 44.29688 -28.63099, 45 -27.95319, 45.70312 -27.27961, 47.8125 -23.96948, 48.51562 -23.31796, 49.21875 -22.66961, 49.92187 -20.74238, 50.625 -20.10551, 51.32813 -18.20996, 52.03125 -17.58278, 52.73438 -15.71386, 53.4375 -13.86195, 54.14062 -13.24801, 54.84375 -11.41516, 55.54687 -9.59407, 56.25 -8.9893, 56.95312 -7.18076, 57.65625 -5.37938, 58.35937 -3.58332, 59.0625 -2.98551, 59.76562 -1.19375, 60.46875 0.59684, 61.17187 2.38802, 59.0625 6.57959, 59.0625 7.78271, 59.0625 8.9893, 59.0625 10.19992, 59.0625 11.41516, 58.35937 14.47751, 57.65625 17.58278))"
163,50,"POLYGON ((-0.1333 0.1333, 0.1333 0.1333, 0.1333 -0.1333, -0.1333 -0.1333, -0.1333 0.1333))"
165,52,"POLYGON ((0 0, 0 0.23685, 0.10853 0.23685, 0.10853 0, 0 0))"
166,52,"POLYGON ((0.10853 0, 0.10853 0.23685, 0.21707 0.23685, 0.21707 0, 0.10853 0))"
167,52,"POLYGON ((-0.10853 0, -0.10853 0.23685, 0 0.23685, 0 0, -0.10853 0))"
168,52,"POLYGON ((0.21707 0, 0.21707 0.23685, 0.3256 0.23685, 0.3256 0, 0.21707 0))"
169,52,"POLYGON ((-0.21707 0, -0.21707 0.23685, -0.10853 0.23685, -0.10853 0, -0.21707 0))"
170,52,"POLYGON ((0.3256 0, 0.3256 0.23685, 0.43413 0.23685, 0.43413 0, 0.3256 0))"
171,52,"POLYGON ((-0.3256 0, -0.3256 0.23685, -0.21707 0.23685, -0.21707 0, -0.3256 0))"
172,52,"POLYGON ((0.43413 0, 0.43413 0.23685, 0.54267 0.23685, 0.54267 0, 0.43413 0))"
173,52,"POLYGON ((-0.43413 0, -0.43413 0.23685, -0.3256 0.23685, -0.3256 0, -0.43413 0))"
174,52,"POLYGON ((0.54267 0, 0.54267 0.23685, 0.6512 0.23685, 0.6512 0, 0.54267 0))"
175,52,"POLYGON ((-0.54267 0, -0.54267 0.23685, -0.43413 0.23685, -0.43413 0, -0.54267 0))"
176,52,"POLYGON ((0 -0.23685, 0 0, 0.10853 0, 0.10853 -0.23685, 0 -0.23685))"
177,52,"POLYGON ((0.10853 -0.23685, 0.10853 0, 0.21707 0, 0.21707 -0.23685, 0.10853 -0.23685))"
178,52,"POLYGON ((-0.10853 -0.23685, -0.10853 0, 0 0, 0 -0.23685, -0.10853 -0.23685))"
179,52,"POLYGON ((0.21707 -0.23685, 0.21707 0, 0.3256 0, 0.3256 -0.23685, 0.21707 -0.23685))"
180,52,"POLYGON ((-0.21707 -0.23685, -0.21707 0, -0.10853 0, -0.10853 -0.23685, -0.21707 -0.23685))"
181,52,"POLYGON ((0.3256 -0.23685, 0.3256 0, 0.43413 0, 0.43413 -0.23685, 0.3256 -0.23685))"
182,52,"POLYGON ((-0.3256 -0.23685, -0.3256 0, -0.21707 0, -0.21707 -0.23685, -0.3256 -0.23685))"
183,52,"POLYGON ((0.43413 -0.23685, 0.43413 0, 0.54267 0, 0.54267 -0.23685, 0.43413 -0.23685))"
184,52,"POLYGON ((-0.43413 -0.23685, -0.43413 0, -0.3256 0, -0.3256 -0.23685, -0.43413 -0.23685))"
185,52,"POLYGON ((0.54267 -0.23685, 0.54267 0, 0.6512 0, 0.6512 -0.23685, 0.54267 -0.23685))"
186,52,"POLYGON ((-0.54267 -0.23685, -0.54267 0, -0.43413 0, -0.43413 -0.23685, -0.54267 -0.23685))"
187,52,"POLYGON ((0 0.23685, 0 0.4737, 0.10853 0.4737, 0.10853 0.23685, 0 0.23685))"
188,52,"POLYGON ((0 -0.4737, 0 -0.23685, 0.10853 -0.23685, 0.10853 -0.4737, 0 -0.4737))"
189,52,"POLYGON ((0.10853 0.23685, 0.10853 0.4737, 0.21707 0.4737, 0.21707 0.23685, 0.10853 0.23685))"
190,52,"POLYGON ((0.10853 -0.4737, 0.10853 -0.23685, 0.21707 -0.23685, 0.21707 -0.4737, 0.10853 -0.4737))"
191,52,"POLYGON ((-0.10853 0.23685, -0.10853 0.4737, 0 0.4737, 0 0.23685, -0.10853 0.23685))"
192,52,"POLYGON ((-0.10853 -0.4737, -0.10853 -0.23685, 0 -0.23685, 0 -0.4737, -0.10853 -0.4737))"
193,52,"POLYGON ((0.21707 0.23685, 0.21707 0.4737, 0.3256 0.4737, 0.3256 0.23685, 0.21707 0.23685))"
194,52,"POLYGON ((0.21707 -0.4737, 0.21707 -0.23685, 0.3256 -0.23685, 0.3256 -0.4737, 0.21707 -0.4737))"
195,52,"POLYGON ((-0.21707 0.23685, -0.21707 0.4737, -0.10853 0.4737, -0.10853 0.23685, -0.21707 0.23685))"
196,52,"POLYGON ((-0.21707 -0.4737, -0.21707 -0.23685, -0.10853 -0.23685, -0.10853 -0.4737, -0.21707 -0.4737))"
197,52,"POLYGON ((0.3256 0.23685, 0.3256 0.4737, 0.43413 0.4737, 0.43413 0.23685, 0.3256 0.23685))"
198,52,"POLYGON ((0.3256 -0.4737, 0.3256 -0.23685, 0.43413 -0.23685, 0.43413 -0.4737, 0.3256 -0.4737))"
199,52,"POLYGON ((-0.3256 0.23685, -0.3256 0.4737, -0.21707 0.4737, -0.21707 0.23685, -0.3256 0.23685))"
200,52,"POLYGON ((-0.3256 -0.4737, -0.3256 -0.23685, -0.21707 -0.23685, -0.21707 -0.4737, -0.3256 -0.4737))"
201,52,"POLYGON ((0.43413 0.23685, 0.43413 0.4737, 0.54267 0.4737, 0.54267 0.23685, 0.43413 0.23685))"
202,52,"POLYGON ((0.43413 -0.4737, 0.43413 -0.23685, 0.54267 -0.23685, 0.54267 -0.4737, 0.43413 -0.4737))"
203,52,"POLYGON ((-0.43413 0.23685, -0.43413 0.4737, -0.3256 0.4737, -0.3256 0.23685, -0.43413 0.23685))"
204,52,"POLYGON ((-0.43413 -0.4737, -0.43413 -0.23685, -0.3256 -0.23685, -0.3256 -0.4737, -0.43413 -0.4737))"
205,53,"POLYGON ((-0.0542 0.1125, 0.0542 0.1125, 0.0542 -0.1125, -0.0542 -0.1125, -0.0542 0.1125))"
206,54,"POLYGON ((-0.0542 0.0542, 0.0542 0.0542, 0.0542 -0.0542, -0.0542 -0.0542, -0.0542 0.0542))"
207,55,"POLYGON ((0 1.5, 0.4635 1.4266, 0.8817 1.2135, 1.2135 0.8817, 1.4266 0.4635, 1.5 0, 1.4266 -0.4635, 1.2135 -0.8817, 0.8817 -1.2135, 0.4635 -1.4266, 0 -1.5, -0.4635 -1.4266, -0.8817 -1.2135, -1.2135 -0.8817, -1.4266 -0.4635, -1.5 0, -1.4266 0.4635, -1.2135 0.8817, -0.8817 1.2135, -0.4635 1.4266, 0 1.5))"
208,56,"POLYGON ((-0.08749999999999999 0.08749999999999999, 0.08749999999999999 0.08749999999999999, 0.08749999999999999 -0.08749999999999999, -0.08749999999999999 -0.08749999999999999, -0.08749999999999999 0.08749999999999999))"
209,57,"POLYGON ((-0.4742 0.4742, 0.4742 0.4742, 0.4742 -0.4742, -0.4742 -0.4742, -0.4742 0.4742))"
210,58,"POLYGON ((-0.625 0.4167, 0.625 0.4167, 0.625 -0.4167, -0.625 -0.4167, -0.625 0.4167))"
215,60,"POLYGON ((0.48375 -35.68681, 3.4458 -35.63416, 6.38082 -35.51055, 9.26671 -35.31935, 12.08269 -35.06575, 14.80865 -34.7567, 14.38083 -32.45728, 13.96412 -30.17389, 13.55777 -27.92068, 13.16059 -25.71209, 12.77126 -23.5627, 10.39758 -23.68798, 7.95668 -23.79461, 5.46455 -23.87755, 2.93743 -23.93291, 0.39157 -23.95824, 0.40843 -26.21478, 0.42602 -28.52986, 0.44441 -30.88942, 0.46364 -33.27976, 0.48375 -35.68681))"
216,60,"POLYGON ((-14.70493 -34.8308, -11.97562 -35.12823, -9.15672 -35.36972, -6.26852 -35.54841, -3.33187 -35.65924, -0.36895 -35.69891, -0.36436 -33.29178, -0.35969 -30.90129, -0.35496 -28.54153, -0.35017 -26.22619, -0.34527 -23.96934, -2.89161 -23.95547, -5.41943 -23.91145, -7.91245 -23.83963, -10.3544 -23.74384, -12.72921 -23.62903, -13.10767 -25.78002, -13.49326 -27.99018, -13.8873 -30.24495, -14.29095 -32.52987, -14.70493 -34.8308))"
217,60,"POLYGON ((-17.03128 -46.62409, -13.92527 -47.10878, -10.67781 -47.50214, -7.31929 -47.79387, -3.88334 -47.97631, -0.40577 -48.04453, -0.40023 -45.78678, -0.39445 -43.47074, -0.38857 -41.11047, -0.38263 -38.71966, -0.37664 -36.3124, -3.36259 -36.27015, -6.32159 -36.15464, -9.23104 -35.96925, -12.06969 -35.71922, -14.81695 -35.41152, -15.24534 -37.71256, -15.68343 -39.99825, -16.12941 -42.25471, -16.58017 -44.46798, -17.03128 -46.62409))"
218,60,"POLYGON ((0.60531 -48.04468, 4.08187 -47.96217, 7.51513 -47.76566, 10.86945 -47.46022, 14.11145 -47.05369, 17.21103 -46.55648, 16.74218 -44.40193, 16.27452 -42.19018, 15.81247 -39.93521, 15.35916 -37.65095, 14.91634 -35.35128, 12.17177 -35.67049, 9.33539 -35.93246, 6.42764 -36.13011, 3.4697 -36.25812, 0.48413 -36.313, 0.5063299999999999 -38.7202, 0.52954 -41.11094, 0.55378 -43.47111, 0.57907 -45.78705, 0.60531 -48.04468))"
219,60,"POLYGON ((0.34208 -11.72273, 2.79962 -11.71446, 5.23966 -11.68577, 7.64735 -11.63749, 10.00829 -11.571, 12.30801 -11.48812, 12.20126 -9.1646, 12.08523 -6.85719, 11.95967 -4.58, 11.82372 -2.34743, 11.6758 -0.17465, 9.500030000000001 -0.11237, 7.26451 -0.06461, 4.98436 -0.02961, 2.67398 -0.00629, 0.34743 0.0059, 0.34712 -2.25101, 0.3464 -4.56625, 0.34531 -6.92591, 0.34387 -9.316140000000001, 0.34208 -11.72273))"
220,60,"POLYGON ((-12.33872 -11.42469, -10.03863 -11.51729, -7.67747 -11.59385, -5.26964 -11.65244, -2.82956 -11.69164, -0.37207 -11.71055, -0.36311 -9.304, -0.35404 -6.91387, -0.34491 -4.55437, -0.3357 -2.23936, -0.32641 0.01725, -2.65302 0.01568, -4.96378 0.00287, -7.2446 -0.0218, -9.481120000000001 -0.05948, -11.65823 -0.112, -11.8152 -2.28442, -11.96053 -4.51673, -12.09578 -6.79377, -12.22176 -9.10112, -12.33872 -11.42469))"
221,60,"POLYGON ((-12.7711 -23.36217, -10.41145 -23.60256, -7.978 -23.79588, -5.48896 -23.93981, -2.96208 -24.03245, -0.41492 -24.07246, -0.40674 -21.81651, -0.39824 -19.50202, -0.38951 -17.14291, -0.3806 -14.75303, -0.37153 -12.34657, -2.83483 -12.32631, -5.28061 -12.28406, -7.69395 -12.22078, -10.06036 -12.13798, -12.36535 -12.03761, -12.47071 -14.36171, -12.56581 -16.67041, -12.64923 -18.9497, -12.71875 -21.18528, -12.7711 -23.36217))"
222,60,"POLYGON ((0.31703 -24.07514, 2.86436 -24.04703, 5.39167 -23.96617, 7.88134 -23.83381, 10.3156 -23.65174, 12.67616 -23.42218, 12.63631 -21.24566, 12.57915 -19.01035, 12.50793 -16.73125, 12.42484 -14.42268, 12.33126 -12.09866, 10.02654 -12.18793, 7.6603 -12.25927, 5.24707 -12.3108, 2.80135 -12.34113, 0.33808 -12.34935, 0.33466 -14.75581, 0.33085 -17.14568, 0.32667 -19.50477, 0.32207 -21.81923, 0.31703 -24.07514))"
223,60,"POLYGON ((-11.65066 0.12289, -9.474030000000001 0.07174999999999999, -7.2378 0.03548, -4.95712 0.0122, -2.64635 0.00076, -0.31957 0.00054, -0.33055 2.25779, -0.34147 4.57338, -0.35234 6.93331, -0.36315 9.323600000000001, -0.37387 11.73001, -2.83118 11.70933, -5.27103 11.66832, -7.67854 11.60789, -10.03918 11.52951, -12.33844 11.4351, -12.22004 9.111929999999999, -12.09259 6.80483, -11.95588 4.52787, -11.80909 2.2955, -11.65066 0.12289))"
224,60,"POLYGON ((0.342 -0.00098, 2.66878 0.01312, 4.97961 0.03832, 7.26042 0.07513, 9.49685 0.12459, 11.67375 0.18849, 11.81912 2.3622, 11.95249 4.59564, 12.07548 6.8736, 12.18894 9.18168, 12.29309 11.50579, 9.99212 11.58646, 7.63011 11.65062, 5.22158 11.69646, 2.78111 11.72264, 0.32357 11.72835, 0.32803 9.32193, 0.33212 6.93165, 0.33582 4.57174, 0.33913 2.2562, 0.342 -0.00098))"
225,60,"POLYGON ((0.32052 12.3595, 2.78382 12.35276, 5.22996 12.32388, 7.64399 12.27371, 10.01125 12.20364, 12.31715 12.11555, 12.40916 14.43996, 12.49069 16.7488, 12.56036 19.02802, 12.616 21.26332, 12.65433 23.43966, 10.29253 23.66757, 7.85731 23.84785, 5.367 23.97833, 2.83938 24.05722, 0.29206 24.0833, 0.29854 21.82806, 0.3046 19.51403, 0.31027 17.15524, 0.31558 14.76565, 0.32052 12.3595))"
226,60,"POLYGON ((-12.36982 12.02663, -10.066 12.12832, -7.70043 12.21251, -5.2877 12.27722, -2.84243 12.32094, -0.37956 12.3427, -0.39015 14.74887, -0.4006 17.13858, -0.41085 19.49759, -0.42085 21.8119, -0.43049 24.06753, -2.97717 24.02557, -5.50329 23.931, -7.99125 23.78518, -10.42335 23.59004, -12.7813 23.34788, -12.72796 21.17176, -12.65732 18.93688, -12.57274 16.65824, -12.47643 14.35015, -12.36982 12.02663))"
227,60,"POLYGON ((-12.75285 23.62748, -10.37793 23.74922, -7.93548 23.85249, -5.44202 23.93172, -2.91379 23.98301, -0.36702 24.00397, -0.37894 26.26186, -0.39126 28.57767, -0.40403 30.93748, -0.41728 33.32745, -0.43102 35.73341, -3.39328 35.68597, -6.32908 35.56738, -9.216200000000001 35.38096, -12.03362 35.13187, -14.76127 34.82698, -14.33995 32.52757, -13.92941 30.24363, -13.52896 27.98923, -13.13737 25.77881, -12.75285 23.62748))"
228,60,"POLYGON ((0.36468 23.99372, 2.91107 23.97578, 5.43888 23.92754, 7.9319 23.85135, 10.37387 23.75113, 12.74825 23.63241, 13.13013 25.78355, 13.51886 27.99386, 13.91623 30.24824, 14.32349 32.53224, 14.74132 34.83179, 12.01374 35.13355, 9.196440000000001 35.37947, 6.30953 35.56268, 3.37401 35.67806, 0.41213 35.7223, 0.40217 33.31638, 0.39246 30.92651, 0.38299 28.56688, 0.37374 26.2513, 0.36468 23.99372))"
229,60,"POLYGON ((0.41807 36.37686, 3.40448 36.33005, 6.36384 36.20984, 9.27345 36.01964, 12.11187 35.76476, 14.85866 35.45219, 15.29123 37.75124, 15.73369 40.03434, 16.18425 42.28767, 16.6396 44.49728, 17.09435 46.64879, 13.99216 47.13858, 10.74718 47.53677, 7.39065 47.83341, 3.95619 48.02089, 0.4795 48.09422, 0.46672 45.84056, 0.45411 43.52806, 0.44178 41.17067, 0.42976 38.78222, 0.41807 36.37686))"
230,60,"POLYGON ((-14.87486 35.43941, -12.12807 35.75424, -9.28969 36.01142, -6.38012 36.20396, -3.4208 36.32654, -0.43443 36.37574, -0.44921 38.78111, -0.46454 41.16956, -0.48041 43.52695, -0.4968 45.83947, -0.51363 48.09314, -3.99019 48.01731, -7.42437 47.82737, -10.78051 47.5283, -14.02502 47.12776, -17.12674 46.63569, -16.66832 44.48425, -16.20953 42.27471, -15.75576 40.02145, -15.31027 37.73841, -14.87486 35.43941))"
231,61,"POLYGON ((-0.0417 0.0417, 0.0417 0.0417, 0.0417 -0.0417, -0.0417 -0.0417, -0.0417 0.0417))"
232,62,"POLYGON ((-0.0417 0.0417, 0.0417 0.0417, 0.0417 -0.0417, -0.0417 -0.0417, -0.0417 0.0417))"
233,63,"POLYGON ((-0.0417 0.0417, 0.0417 0.0417, 0.0417 -0.0417, -0.0417 -0.0417, -0.0417 0.0417))"
234,64,"POLYGON ((-0.0417 0.0417, 0.0417 0.0417, 0.0417 -0.0417, -0.0417 -0.0417, -0.0417 0.0417))"
235,65,"POLYGON ((-2.7386 2.7386, 2.7386 2.7386, 2.7386 -2.7386, -2.7386 -2.7386, -2.7386 2.7386))"
236,66,"POLYGON ((0 13.9345, 4.306 13.2525, 8.1905 11.2732, 11.2732 8.1905, 13.2525 4.306, 13.9345 0, 13.2525 -4.306, 11.2732 -8.1905, 8.1905 -11.2732, 4.306 -13.2525, 0 -13.9345, -4.306 -13.2525, -8.1905 -11.2732, -11.2732 -8.1905, -13.2525 -4.306, -13.9345 0, -13.2525 4.306, -11.2732 8.1905, -8.1905 11.2732, -4.306 13.2525, 0 13.9345))"
237,67,"POLYGON ((0.5 60, 0.5 -60, -0.5 -60, -0.5 60, 0.5 60))"
238,68,"POLYGON ((-0.2487 0.2476, 0.2487 0.2476, 0.2487 -0.2476, -0.2487 -0.2476, -0.2487 0.2476))"
239,69,"POLYGON ((0 0.75, 0.2318 0.7133, 0.4408 0.6068, 0.6068 0.4408, 0.7133 0.2318, 0.75 0, 0.7133 -0.2318, 0.6068 -0.4408, 0.4408 -0.6068, 0.2318 -0.7133, 0 -0.75, -0.2318 -0.7133, -0.4408 -0.6068, -0.6068 -0.4408, -0.7133 -0.2318, -0.75 0, -0.7133 0.2318, -0.6068 0.4408, -0.4408 0.6068, -0.2318 0.7133, 0 0.75))"
240,70,"POLYGON ((0 0.75, 0.2318 0.7133, 0.4408 0.6068, 0.6068 0.4408, 0.7133 0.2318, 0.75 0, 0.7133 -0.2318, 0.6068 -0.4408, 0.4408 -0.6068, 0.2318 -0.7133, 0 -0.75, -0.2318 -0.7133, -0.4408 -0.6068, -0.6068 -0.4408, -0.7133 -0.2318, -0.75 0, -0.7133 0.2318, -0.6068 0.4408, -0.4408 0.6068, -0.2318 0.7133, 0 0.75))"
241,71,"POLYGON ((-1.85 2.45, 1.85 2.45, 1.85 -2.45, -1.85 -2.45, -1.85 2.45))"
242,72,"POLYGON ((-0.1732 0.1732, 0.1732 0.1732, 0.1732 -0.1732, -0.1732 -0.1732, -0.1732 0.1732))"
243,73,"POLYGON ((-0.0543 0.0526, 0.0543 0.0526, 0.0543 -0.0526, -0.0543 -0.0526, -0.0543 0.0526))"
244,74,"POLYGON ((-0.0508 0.0508, 0.0508 0.0508, 0.0508 -0.0508, -0.0508 -0.0508, -0.0508 0.0508))"
245,75,"POLYGON ((-0.0558 0.0558, 0.0558 0.0558, 0.0558 -0.0558, -0.0558 -0.0558, -0.0558 0.0558))"
246,76,"POLYGON ((-3.38451 -3.44777, -3.36916 3.46972, 3.3965 3.45774, 3.37814 -3.46122, -3.38451 -3.44777))"
247,77,"POLYGON ((0.1653 0.8309299999999999, 0.1653 0.9833, 0.45774 0.9833, 0.45774 0.8309299999999999, 0.61546 0.8309299999999999, 0.61546 0.65315, 0.77646 0.65315, 0.77646 0.49512, 0.92761 0.49512, 0.92761 0.17061, 1.08862 0.17061, 1.08862 0.07467, 0.78961 0.07467, 0.78961 -0.009849999999999999, 1.08862 -0.009849999999999999, 1.08862 -0.17061, 0.92761 -0.17061, 0.92761 -0.49512, 0.77646 -0.49512, 0.77646 -0.65315, 0.61546 -0.65315, 0.61546 -0.8309299999999999, 0.45774 -0.8309299999999999, 0.45774 -0.9833, 0.1653 -0.9833, 0.1653 -0.8309299999999999, -0.1653 -0.8309299999999999, -0.1653 -0.9833, -0.45774 -0.9833, -0.45774 -0.8309299999999999, -0.61546 -0.8309299999999999, -0.61546 -0.65315, -0.77646 -0.65315, -0.77646 -0.49512, -0.92761 -0.49512, -0.92761 -0.17061, -1.08862 -0.17061, -1.08862 0.17061, -0.92761 0.17061, -0.92761 0.49512, -0.77646 0.49512, -0.77646 0.65315, -0.61546 0.65315, -0.61546 0.8309299999999999, -0.45774 0.8309299999999999, -0.45774 0.9833, -0.1653 0.9833, -0.1653 0.8309299999999999, 0.1653 0.8309299999999999))"
