id,instrumentid,footprint
11,26,"POLYGON ((-0.0342 0.0342, 0.0342 0.0342, 0.0342 -0.0342, -0.0342 -0.0342, -0.0342 0.0342))"
23,34,"POLYGON ((-0.5 0.5, 0.5 0.5, 0.5 -0.5, -0.5 -0.5, -0.5 0.5))"
24,35,"POLYGON ((0 1, 0.309 0.9510999999999999, 0.5878 0.8090000000000001, 0.8090000000000001 0.5878, 0.9510999999999999 0.309, 1 0, 0.9510999999999999 -0.309, 0.8090000000000001 -0.5878, 0.5878 -0.8090000000000001, 0.309 -0.9510999999999999, 0 -1, -0.309 -0.9510999999999999, -0.5878 -0.8090000000000001, -0.8090000000000001 -0.5878, -0.9510999999999999 -0.309, -1 0, -0.9510999999999999 0.309, -0.8090000000000001 0.5878, -0.5878 0.8090000000000001, -0.309 0.9510999999999999, 0 1))"
25,36,"POLYGON ((-0.00028 0.00028, 0.00028 0.00028, 0.00028 -0.00028, -0.00028 -0.00028, -0.00028 0.00028))"
26,36,"POLYGON ((-0.00028 0.00028, 0.00028 0.00028, 0.00028 -0.00028, -0.00028 -0.00028, -0.00028 0.00028))"
27,37,"POLYGON ((-0.01667 0.01667, 0.01667 0.01667, 0.01667 -0.01667, -0.01667 -0.01667, -0.01667 0.01667))"
28,37,"POLYGON ((-0.01667 0.01667, 0.01667 0.01667, 0.01667 -0.01667, -0.01667 -0.01667, -0.01667 0.01667))"
29,38,"POLYGON ((-0.45778 0.9841, -0.45829 0.83477, -0.15913 0.83446, -0.15868 0.98363, -0.45778 0.9841))"
30,38,"POLYGON ((0.16321 0.9830100000000001, 0.1629 0.83384, 0.46203 0.83283, 0.46229 0.98215, 0.16321 0.9830100000000001))"
31,38,"POLYGON ((-0.61347 0.82017, -0.61408 0.6708, -0.31502 0.67061, -0.31444 0.81987, -0.61347 0.82017))"
32,38,"POLYGON ((-0.30312 0.81992, -0.30363 0.67066, -0.00415 0.67032, -0.00383 0.81957, -0.30312 0.81992))"
33,38,"POLYGON ((0.00756 0.81951, 0.00714 0.67027, 0.3066 0.66932, 0.30685 0.81857, 0.00756 0.81951))"
34,38,"POLYGON ((0.31805 0.81854, 0.31787 0.6692900000000001, 0.61689 0.66819, 0.61703 0.81753, 0.31805 0.81854))"
35,38,"POLYGON ((-0.76911 0.65595, -0.7696499999999999 0.50649, -0.47083 0.50647, -0.47027 0.65591, -0.76911 0.65595))"
36,38,"POLYGON ((-0.45892 0.65605, -0.45963 0.50661, -0.16018 0.50613, -0.15962 0.65561, -0.45892 0.65605))"
37,38,"POLYGON ((-0.14837 0.6555800000000001, -0.14882 0.5061, 0.15093 0.50549, 0.15119 0.6549700000000001, -0.14837 0.6555800000000001))"
38,38,"POLYGON ((0.16245 0.65502, 0.16215 0.50554, 0.46158 0.50452, 0.46174 0.65395, 0.16245 0.65502))"
39,38,"POLYGON ((0.47313 0.65388, 0.47295 0.50444, 0.77173 0.50321, 0.77193 0.65265, 0.47313 0.65388))"
40,38,"POLYGON ((-0.92475 0.49178, -0.92526 0.34225, -0.62671 0.34197, -0.6261 0.49155, -0.92475 0.49178))"
