  phase           F115W           F150W           F200W           F560W  
   0.25   23.5283746646   23.2912372904   23.4714545453    24.521659764  
   0.75   22.2510659333   21.9567527705   21.8914781747   22.8288981273  
   1.25   21.8101309308   21.4724807488   21.3298377763   22.1815565511  
   1.75   21.4553573549    21.132005075   21.0539162462   21.8382863904  
   2.25   21.1856839625   20.7930669282   20.8037189579   21.5006764454  
   2.75   21.0375322014   20.6431372929   20.6869710006   21.2318203997  
   3.25   20.9877475945    20.541850326   20.6017863113   21.1151919143  
   3.75   20.9546603705   20.4365311334   20.5381532024   21.0458554568  
   4.25   20.9410023838   20.4144239615   20.4841491162   20.8645680946  
   4.75   20.9966643518   20.3860073039   20.5045170671   20.8126271774  
   5.25    21.071570388   20.4149025372   20.4650710323   20.6927731052  
   5.75   21.1227396001   20.3800472225   20.4246359034   20.6523155006  
   6.25    21.204037673   20.3735668182   20.4154245434   20.5954228802  
   6.75    21.251785586   20.3572622893   20.3563547826   20.5772518586  
   7.25   21.3420779926   20.3838635888   20.3529959944   20.5005329937  
   7.75   21.3871998143   20.4457382598   20.3582346045   20.5179764996  
   8.25   21.4323138118    20.447696232   20.3219940506   20.5842005947  
   8.75    21.547218928   20.4939056783   20.3705446198   20.6360901438  
   9.25   21.5879701531   20.5290965821   20.3598051001    20.678266892  
   9.75   21.6890009662   20.5858160281   20.4468045528   20.7779292174  
  10.25   21.7074678491   20.6406301969   20.4416319905   20.8771251045  
  10.75   21.7915335008   20.6948245302    20.534982048    20.995206133  
  11.25    21.906277737   20.7961905838   20.5618327218   21.1170386231  
  11.75   22.0123432334   20.9075303649   20.6364695188   21.3431715116  
  12.25   22.1473885744   21.0396489509    20.713750782   21.4357496731  
  12.75   22.2554837295   21.1881882065   20.7913080047   21.6120438439  
  13.25   22.4704769346   21.3624189252    20.892173377    21.886484279  
  13.75   22.5952958203   21.5292764391   21.0096997389    22.066115592  
  14.25   22.8670441782    21.866155988   21.2346441975   22.3249093984  
  14.75   23.0554422618   22.1767697869   21.4081259343   22.6185500821  
  15.25   23.3510487656   22.5223621209   21.6756296361   22.9550708097  
  15.75   23.6694003772   22.9544903091   21.9265284354   23.1386451191  
  16.25   23.9323429097    23.360920146   22.1893554188    23.373307196  
  16.75   24.3033419128   23.8723841917   22.4577778005   23.6072836729  
  17.25   24.6424207245   24.2627483881   22.6593340383   23.5484378499  
  17.75   24.6843654393   24.3814133141   22.8298677554   23.7316475262  
  18.25    24.908691269   24.4968453492   22.9407866654   23.8247324921  
  18.75    24.935670827   24.5900134323   22.9725887905   23.7326171246  
  19.25   25.0076320066   24.6194762458   23.0666630482   23.8379614049  
  19.75   25.1361331548   24.8387786874   23.1600592586   23.8475897573  
  20.25   25.1664401311   24.9984527211   23.2458133209    23.837934161  
  20.75   25.2738514978   24.9075041693   23.2932695479   23.8840230607  
  21.25   25.3922357202   25.0301392541   23.3357936415   23.9092890268  
  21.75   25.5820854562   25.1300132758   23.4421499758   23.9225828537  
  22.25   25.5488415241   25.2142666794   23.5157798208   24.0080377612  
  22.75   25.6552379633   25.3363928508   23.5369701352   24.0063268805  
  23.25   25.7245162639   25.3118424674   23.6615246437    24.019006957  
  23.75   25.8708454122   25.4954401829   23.6839239501   24.2196678476  
  24.25   25.8882449686   25.4899635105   23.7447987365   24.1658736471  
  24.75   25.8948134708   25.5105248893   23.7834952814   24.0815380697  
  25.25   26.0675332735   25.6352203955   23.8916849002    24.142079027  
  25.75   26.2107898582   25.7438847412   23.9514744304   24.1572608337  
  26.25   26.2656996323   25.8385962812    24.008491081   24.1474320477  
  26.75   26.2816481315   25.8821971228   24.0192080767   24.2202616267  
  27.25   26.4241116033   25.9552983509   24.1032408139   24.1133582674  
  27.75   26.5029721351   26.0254186021   24.1881458325   24.1679863723  
  28.25   26.6379246462   26.0103407394    24.146446159   24.2322142887  
  28.75   26.7406327831   26.1481171247   24.2169748649   24.1515751695  
  29.25   26.7593693601    26.288966844   24.2736866906   24.2280490632  
  29.75   26.8364551309   26.2072403592   24.2711150127   24.3180694562  
  30.25   26.9772896686   26.4147189645   24.3489883503    24.321595157  
  30.75   27.0624958064   26.4976434849   24.3872350221   24.3113332895  
  31.25   27.0845584747   26.4359866982   24.4354625526   24.3616476738  
  31.75   27.0886264243   26.6426294936   24.4679472906   24.4960600182  
  32.25   27.2856669239   26.7234527567    24.540904484   24.4347800199  
  32.75   27.3861818774   26.7254266404   24.5795153192   24.4596189349  
  33.25   27.5755052657    26.873274009   24.6028146403   24.5513429667  
  33.75   27.5362281629   26.9436105387   24.6261303886   24.5582593269  
  34.25   27.6174300833   26.9179960474    24.621158189   24.5774081639  
  34.75   27.7436280537    27.041582443   24.6450953908   24.7133643415  
  35.25    27.720251783   27.1832848346   24.6765632314   24.7501240781  
  35.75   27.9344692695    27.134740239   24.6838003785    24.762485874  
