  rfphase          ofphase           F070W           F090W           F115W           F150W           F200W           F277W           F356W           F444W           F560W           F770W          F1000W  
     0.25   0.256793220795   24.9133092681   24.1908926285    23.907039909   23.6720749924   23.8554363322   23.8653202987   23.9749886616   24.4472111312   24.8926205486   26.1849967387    31.823556439  
     0.75   0.770379662385   24.7926132127   23.2996685712   22.6419438873   22.3391909148   22.2873616194   22.3606294047   22.1912846605   22.4836695749   23.2187033539   24.0524707947   30.1394414061  
     1.25    1.28396610398    25.373418934   23.2537533906   22.1995234772   21.8643004787   21.7309290981   21.7313310934   21.5381434157   21.9885054872   22.5627372362   23.2761564944   29.8561762235  
     1.75    1.79755254557   25.7000248969   23.0659551117   21.8487004118    21.520623189   21.4596708744   21.2506083843   21.1589727754     21.52610714   22.2337776074   22.8707272311   27.3758245568  
     2.25    2.31113898716   25.6862423429   23.0294862808   21.5805355692   21.1795414767   21.2182910249   21.0607880811   20.9032215097   21.1571895839   21.8849791193   22.3655467268   27.6559089249  
     2.75    2.82472542875   25.7687879923   22.9651934934   21.4371457403   21.0313066138   21.0977666467   20.8540305663   20.7401080017   21.0439206751    21.616130999   22.2505884175   26.9143732419  
     3.25    3.33831187034   26.0372449519   22.9638488789    21.390183357   20.9298322943   21.0159470263   20.7336262661   20.7091891487   20.9362751199    21.502824581   22.0095260118   27.3014850356  
     3.75    3.85189831193   26.0628022786   23.0190698682   21.3626343095   20.8248650931   20.9453516487   20.6304430037   20.6727007486   20.8266548769   21.4299348931   21.8568036221   27.2578835517  
     4.25    4.36548475352   26.1024466088   23.1612662284   21.3461319029   20.8042003921   20.8934114172    20.527552426   20.6658179301   20.8214450365   21.2579977984    21.771014172   26.7297342956  
     4.75    4.87907119511   26.2113261848    23.216897895    21.407129448   20.7731257837   20.9090788744   20.5101293956   20.6357457526   20.7891527708   21.2040123913   21.5747031193     26.12622314  
     5.25     5.3926576367   26.5808362775   23.2407630891   21.4861074404   20.8028090705    20.869652604   20.4449970315   20.5572240638   20.7142298455   21.0798111466   21.5174576171   26.1569727592  
     5.75    5.90624407829   26.4093029924   23.3107599021   21.5352080018   20.7694122148   20.8304230049   20.3721459888   20.5149659742    20.688580911    21.043363631   21.4892887463   25.8522852167  
     6.25    6.41983051988    26.506844554   23.4201473355   21.6102975496    20.765128837   20.8180330438   20.3294959566    20.476059227   20.6272523203   20.9840855257   21.4638737563    25.596161924  
     6.75    6.93341696147   26.5946251829   23.4031228033   21.6626911626   20.7476309458   20.7587499813   20.3006234412   20.4224095235   20.6220405758   20.9659977053   21.4135168831   24.6304132768  
     7.25    7.44700340306   26.5557916073   23.4033411907   21.7501488485    20.773880563   20.7525915943   20.2609382072   20.3694549821   20.5758314994   20.8881029932   21.3880364624   25.2156639157  
     7.75    7.96058984465   26.6477061983   23.5612316809   21.7983730616   20.8372605149   20.7588147276   20.2311625865   20.3558281488     20.55343432   20.9054100499   21.4129870951   24.9150614432  
     8.25    8.47417628624   26.6169240548   23.6081257813   21.8428699021   20.8395529521   20.7218172563   20.2464294729   20.3386673425   20.5056320024   20.9783363732   21.4650105387   24.3293490463  
     8.75    8.98776272783   26.6577420353   23.6789895323   21.9588836331    20.886213036   20.7703064527   20.2137746732   20.3573668336   20.5811082014   21.0257930432    21.438042725   24.4534671108  
     9.25    9.50134916942   26.5843082974   23.8100232209   21.9987281145   20.9238997314   20.7587212251   20.2225272653   20.3765858874   20.6394958257   21.0710954437   21.5033720642   24.0704143165  
     9.75     10.014935611   26.4248160724    23.775649801   22.1011168267   20.9807088362   20.8472348362   20.2297872443   20.4195207117   20.6774116091   21.1749572851   21.5855791776   24.2532472267  
    10.25    10.5285220526   26.6422489068    23.900762756   22.1198626028    21.036674888   20.8386015144   20.2350723973   20.5069184083   20.7714724463   21.2706207428   21.6671250361    23.718667063  
    10.75    11.0421084942   26.7839219017   24.0195342012   22.2048335465   21.0928134552   20.9301085549   20.2948382303   20.5751711098   20.8691594167   21.3990606868     21.75685614   23.8261314333  
    11.25    11.5556949358   26.6073909899    23.998499334   22.3216972524   21.1943289377   20.9537211148   20.3281401006   20.6443761372   21.0232533753   21.5272842409   21.8556397163   23.5200312305  
    11.75    12.0692813774   26.7518053633   24.0685895529   22.4270891718   21.3079995649   21.0272493915   20.3744650851   20.7952901669   21.1577137065   21.7466100852   21.9868877113   23.8009131495  
    12.25     12.582867819   26.6597097784   24.1615938198   22.5606011644    21.441970461   21.1017669557   20.4376921784   20.8743909429   21.3342288454   21.8513593083   22.1829052348   23.5694619526  
    12.75    13.0964542606   26.7393469929   24.3657104365   22.6669069752   21.5921686368   21.1823197647   20.5545188467   21.0443137333   21.5256130083   22.0204643361   22.2341309539   23.5740626594  
    13.25    13.6100407021   26.6950309267   24.4543042234   22.8777443768   21.7644482136   21.2851201966   20.6547305963   21.2916694655   21.7682505621   22.3016159714   22.5255790205   23.3274967707  
    13.75    14.1236271437   26.7620920679   24.5927879285   23.0010088487    21.932369384   21.4053064613   20.7820395558   21.4928044841   22.0819106143    22.486764739   22.7491242396   23.3596176677  
    14.25    14.6372135853   26.8350859053   24.6983999789   23.2778580309   22.2686721891   21.6358265237   20.9544655463   21.7554597025   22.3723274126    22.748789194    22.972233631   23.4397418008  
    14.75    15.1508000269   26.8440716339   24.7442856996   23.4610425455   22.5747203004   21.8142675481    21.110729759   22.0698491953   22.7542733445   23.0426052241   23.1944970697   23.3787811888  
    15.25    15.6643864685   26.8315080896   24.9657976194   23.7610788233   22.9188189305   22.0875622775   21.3005504285   22.4265571963   23.1999800001   23.3834951492   23.5089797113   23.3110420546  
    15.75    16.1779729101   26.8638397445   25.0137688953   24.0749546639   23.3565071928   22.3433485377   21.5009969275    22.842847172   23.6123571484   23.5741689296    23.791556227   23.2760994528  
    16.25    16.6915593517   26.9332317547   24.9995576436   24.3458062281   23.7616266251   22.6096235323   21.7163028971   23.2056229429   24.0915652381   23.8198793322   23.9555048611   23.2601490371  
    16.75    17.2051457933   27.0414449749   25.1406151923    24.710007616   24.2573350006   22.8856434495   21.8208185356   23.5592687442   24.8716474921    24.064702381   24.2290318781   23.2287350812  
    17.25    17.7187322349   27.1966511993   25.1804522281    25.048964975   24.6522476309    23.088197583   21.9279080363   23.8410300539   24.9638002364   24.0080116877   24.3171055797   23.1876630108  
    17.75    18.2323186765   27.0694572631   25.2025498225   25.0935674483   24.7679509689   23.2643489134    21.991926413   23.9067833069   25.0824138596   24.1982686257   24.3655106964   23.1457308889  
    18.25     18.745905118   27.1142988263   25.2725652684   25.3154066482   24.8846788596   23.3754908266   22.0417198614   24.1142056786   25.2396659304   24.2785282628   24.3676154319   23.1322598428  
    18.75    19.2594915596   27.1644031659    25.381560325   25.3470978038    24.978953345   23.4186188839   22.1317450491   24.0009769064   25.3358495788    24.187664658   24.3871988028   23.1079808829  
    19.25    19.7730780012   27.2635804202   25.4309356235   25.4175402254     25.02053818   23.4990303888   22.1867334708   24.1240885572   25.3450614311   24.2846358254   24.5829545883   23.1930974545  
    19.75    20.2866644428   27.4415579325   25.5975723354   25.5412266267   25.2289831727   23.6012273578   22.2448347874   24.1573143936   25.4518794494   24.2999604241   24.5126709952    23.113182037  
    20.25    20.8002508844   27.2693922936   25.6891570294   25.5867068987    25.382827428   23.6746128838   22.3064240894      24.1719409   25.4751774131   24.3027330039   24.5662005259    23.225776655  
    20.75     21.313837326   27.5185871253   25.7170555763   25.6907955408   25.2934459513    23.730163874   22.3754516822   24.2480895428   25.5445768499   24.3274333317   24.5632616244   23.0559735709  
    21.25    21.8274237676   27.4326686896   25.8570033895   25.8015404114   25.4214307173    23.765372458   22.3988467957   24.3437153451   25.6722551622     24.36949317   24.6401761632   23.0637987453  
