  phase           F115W           F150W           F200W  
   0.25   22.0876393551   21.8809163188   21.9813322744  
   0.75    20.793546452   20.4907859044   20.3862817991  
   1.25   20.3573672134   20.0103809692   19.7814892006  
   1.75   19.9698188708   19.6621808672   19.5063055039  
   2.25   19.6978925765   19.3245637893    19.235723573  
   2.75   19.5295332403   19.1885248536   19.1197989975  
   3.25   19.4665068137   19.0769838885   19.0181535339  
   3.75   19.4274486417   18.9809159099   18.9794094591  
   4.25   19.4054015544   18.9492617224   18.9281871752  
   4.75   19.4509594387   18.9245005898   18.9427338508  
   5.25   19.4953036672   18.9369914738   18.9010373389  
   5.75   19.5408420288   18.9134244599   18.8695675927  
   6.25   19.6177713321   18.8998095672   18.8592634021  
   6.75   19.6568030957   18.8817503611   18.8129244721  
   7.25   19.7366017635   18.9023046252   18.8028651165  
   7.75   19.8066341594   18.9647046681   18.8252022219  
   8.25   19.8383801086   18.9610583158   18.7887610504  
   8.75   19.9542726144   19.0067934133   18.8323806252  
   9.25    20.002011944   19.0371395835   18.8380559067  
   9.75   20.0979457859   19.0974801541    18.902234009  
  10.25   20.1172897198   19.1375087115   18.9186908595  
  10.75   20.1933971419   19.1951710742   19.0109004756  
  11.25   20.3014558565   19.2848352554   19.0462943895  
  11.75   20.4246444623   19.3981454994   19.1330640017  
  12.25   20.5580707371   19.5151677339   19.2178143678  
  12.75   20.6740260267    19.656653408   19.2999565358  
  13.25   20.8810854094   19.8469713604    19.398379756  
  13.75   21.0181782629   19.9980227541   19.5060102968  
  14.25   21.2666157515   20.3391320861   19.7144052789  
  14.75   21.4782571059   20.6694619743   19.8585282293  
  15.25   21.7901345255   20.9983129133   20.1045923832  
  15.75   22.0909370914   21.4205494347   20.3126550962  
  16.25   22.3197161723   21.8616593663   20.5476016758  
  16.75   22.7295574037    22.386043497   20.7903524774  
  17.25   23.0605805475   22.7377731201   20.9419831218  
  17.75   23.0916757786   22.9222763651   21.1313102114  
  18.25   23.3183590231   23.0065166688   21.2036142847  
  18.75   23.3455415881   23.0873739886    21.267228033  
  19.25    23.455506646   23.1082514221   21.3637658687  
  19.75   23.5455098639   23.3114655879   21.4436067175  
  20.25   23.5604507466   23.4207569802   21.5278689595  
  20.75   23.6911897352   23.4298934931   21.5906134958  
  21.25   23.8225565642   23.5061425887   21.6255632508  
  21.75   23.9546335299   23.6255819226   21.7212269608  
  22.25   23.9388047783   23.7295601826   21.8038476654  
  22.75   24.0788839366    23.842879476    21.849641649  
  23.25   24.1315269769   23.8102901229   21.9642973292  
  23.75   24.3098457499   23.9335805386   21.9946745351  
  24.25   24.2807528938   23.9765651564   22.0563283657  
  24.75   24.2885826725   23.9879250104   22.0920656281  
  25.25   24.4471751071   24.0983233716   22.1912564447  
  25.75   24.5650327066   24.2572148487   22.2584577994  
  26.25   24.6445431865   24.2881217255   22.3183634804  
  26.75   24.7149645459   24.3922375954   22.3157125472  
  27.25   24.7851854405   24.3316959333   22.4433050629  
  27.75   24.9237656572   24.4937460258    22.477588734  
  28.25   25.0097582619   24.4769829174   22.4765224681  
  28.75   25.0892839274   24.6506824406   22.5566297809  
  29.25   25.1393343473   24.7462926769   22.5806656405  
  29.75   25.2250421179   24.6553958997   22.5959342746  
  30.25   25.2957772996   24.8586614547   22.6661786988  
  30.75   25.4163973045   24.9877327212   22.7148857375  
  31.25   25.4655014379   24.9118636517   22.7540586022  
  31.75   25.4405588833   25.1529246426   22.7941001285  
  32.25   25.6699571626   25.2061650555    22.855617093  
  32.75   25.7691441657   25.1372012468   22.8858372732  
  33.25   25.8804735733     25.35012768   22.9031585049  
  33.75   25.8704990658   25.3916557385    22.937448996  
  34.25   25.9598854228   25.4372550431    22.935805736  
  34.75   26.0907678315   25.4726853535   22.9466660097  
  35.25   26.1222389586   25.6689334407   22.9514760744  
  35.75   26.3243451553    25.630913801   22.9213481881  
  36.25   26.2302419119   25.7366252621   22.9211274686  
  36.75   26.4722670454   25.8165375667   22.9932982337  
  37.25   26.3641949397   25.9407463511   22.9745516751  
  37.75    26.370421692   25.9032120987   23.0189068554  
  38.25   26.5971785114   26.0579990046   23.0430478359  
  38.75   26.6307105144   26.0731827132   23.0929872196  
  39.25   26.7338776213   26.2010183862   23.0909652612  
  39.75   26.6676959717    26.157043728    23.147221055  
  40.25   26.6486757398   26.3506426503   23.1936806622  
  40.75   26.7589830563   26.3031827843   23.2581409525  
  41.25   26.7840195399   26.4170676162   23.2189576039  
  41.75    26.899639466   26.4090351651   23.2359877422  
  42.25   26.9424776065    26.516761371   23.2938030308  
  42.75   27.0182048648   26.5148317426   23.3047493473  
  43.25   27.1706303595    26.558687894   23.3590848424  
  43.75   27.0153766512   26.5189185564    23.390797673  
  44.25   26.9426166572   26.6257843482   23.4949374873  
  44.75   27.1080556529   26.5757044383   23.4951304816  
  45.25   27.1816205639   26.5882308467   23.5788927578  
  45.75   26.9209139457   26.6649579609   23.6765008633  
  46.25    26.875685578   26.7495532168   23.7897209307  
  46.75   27.1097077678   26.7221242267   23.8422181444  
  47.25   27.0119164297   26.8295952308   23.9000350432  
  47.75   27.0166196362   26.6538210983   23.9336097672  
  48.25   26.9081399174   26.7333945434   23.9857769094  
  48.75   26.8333799456   26.8091028088   23.9952924457  
  49.25    26.939681082   26.5833521176   24.1079254799  
  49.75   26.9562975276   26.7770023875   24.1788397616  
  50.25   26.9356594383   26.8380847576   24.1522572222  
  50.75   27.0382986932   26.8488749498   24.3320482986  
  51.25   26.9897600039   26.8151679393   24.4115462263  
  51.75   27.0099929261   26.8626264443   24.5214002433  
  52.25   27.2423381183   26.9378812433   24.6214158948  
  52.75   27.2740975677    27.002423438   24.6728138757  
  53.25   27.3608748299   27.2528409904   24.9002490999  
  53.75   27.4245364778   27.2225779173   25.0194990016  
  54.25   27.5546337443   27.4560367105   25.1409304878  
  54.75   27.6498405269   27.2261251367   25.2551172568  
  55.25   27.5826781804   27.3058107303   25.3130742488  
  55.75   27.5434280426   27.4461792563   25.2919280297  
  56.25    27.942904482   27.5762157843   25.4667776267  
  56.75   27.8342051795   27.4653308696   25.6550807864  
  57.25   27.8371947583   27.6128854285   25.8185969721  
  57.75   27.9420145139   28.0055314936   25.8318783837  
  58.25    28.342064551   27.8693577869   25.9283407151  
  58.75   28.4434142149   28.0513980658   26.0673946707  
  59.25   28.2832143179   28.0206953378   26.0354021171  
  59.75   28.4045985047   27.9736994393   26.1428138532  
  60.25   28.6284993773   28.3998830618   26.2816283274  
  60.75   28.8326806298   28.6781061776   26.3973645666  
  61.25   28.7004693439    28.606420534   26.6763140696  
  61.75    28.624809286    28.399778828   26.6850237774  
  62.25   29.0067404478   28.7490046799   26.7151178822  
  62.75   29.0220361745   28.7742784918   26.9356445739  
  63.25   29.3267647033   28.6614451244   26.7934786538  
  63.75   29.1001353595   28.8409189727    26.934232988  
  64.25   29.2418985854   28.9355211897    27.029066361  
  64.75   29.4420382792   29.3910532606   27.2584301351  
  65.25   30.0273830279   29.4895427882   27.5302411676  
  65.75   29.8078876791   29.7266876397   27.5584722677  
  66.25   29.8407335251    29.592153793   27.4224503455  
  66.75   29.9107169507   29.8567575778    27.682173055  
  67.25   30.0968989575   29.8337706792   27.8888341757  
  67.75   30.4403314877   29.6745635586    28.087791177  
  68.25   30.5769334116   30.0490477943   28.2728266364  
  68.75    31.389993674   30.3125123059   28.3216283888  
  69.25    31.086974949   30.6425407841   28.3608904666  
  69.75   31.1325695743    30.640912695   28.5734986884  
  70.25   31.3627291219   30.8553673905   28.7549267616  
  70.75   31.2136382186   30.8050932201   28.5777790344  
  71.25   31.3811596458   32.7753620127   28.9722930401  
  71.75   32.6045660962   32.4216732016   29.0025105672  
  72.25   35.3128221694   32.2357183534   29.2283432499  
  72.75   33.6960927704   31.1922030647   29.5852681785  
  73.25     33.59358209   31.8032937575   29.4406862133  
  73.75   33.7535944693    33.562503683   29.7459304062  
  74.25   33.6616684913   32.5498485301   30.0863870289  
  74.75             nan   33.3426440016   29.4142465358  
  75.25             nan   32.5060809669   29.3413828136  
  75.75             nan             nan   29.5767191042  
  76.25             nan             nan   29.6771889426  
  76.75             nan             nan   29.6333516119  
  77.25             nan             nan   29.8989631835  
  77.75             nan   33.9257987186   29.9475488977  
  78.25             nan   32.8924269737   29.7746522196  
  78.75             nan   33.7010671516   29.4301985232  
  79.25             nan   33.7792821092    29.593488127  
  79.75             nan   33.2809286187   29.5527542586  
  80.25             nan   32.9268908117   30.0735033165  
  80.75             nan             nan   29.6572592951  
  81.25             nan   33.1512305853   29.6320782799  
  81.75             nan   32.5466516015   29.4901696541  
  82.25             nan   33.0144744622   29.8988059434  
  82.75             nan             nan   29.6724216227  
  83.25             nan             nan   29.6779875026  
  83.75             nan   33.8115133731   29.9937762819  
  84.25             nan    32.307395821   30.0096019669  
  84.75             nan             nan   29.8471114694  
  85.25             nan             nan   30.2503633172  
  85.75             nan   33.9138647115   29.8723483655  
  86.25             nan    33.788738693   29.8215327895  
  86.75             nan   33.8399383632   29.7817181921  
  87.25             nan   33.8838641829   30.1136790758  
  87.75             nan             nan   30.0084167326  
  88.25             nan             nan   29.9227467774  
  88.75             nan   33.3370859864   29.9494352043  
  89.25             nan   33.9044430331   29.8813309468  
  89.75             nan    33.230462795   29.9272430038  
