  phase           F115W           F150W           F200W  
   0.25   24.4732456287   24.2665225924    24.366938548  
   0.75   23.1791527256    22.876392178   22.7718880727  
   1.25    22.742973487   22.3959872428   22.1670954742  
   1.75   22.3554251444   22.0477871408   21.8919117775  
   2.25   22.0834988501   21.7101700629   21.6213298466  
   2.75   21.9151395139   21.5741311272   21.5054052711  
   3.25   21.8521130873   21.4625901621   21.4037598075  
   3.75   21.8130549153   21.3665221835   21.3650157327  
   4.25    21.791007828    21.334867996   21.3137934488  
   4.75   21.8365657123   21.3101068634   21.3283401244  
   5.25   21.8809099408   21.3225977474   21.2866436125  
   5.75   21.9264483024   21.2990307335   21.2551738663  
   6.25   22.0033776057   21.2854158408   21.2448696757  
   6.75   22.0424093692   21.2673566347   21.1985307457  
   7.25   22.1222080371   21.2879108988   21.1884713901  
   7.75    22.192240433   21.3503109417   21.2108084955  
   8.25   22.2239863822   21.3466645894    21.174367324  
   8.75    22.339878888   21.3923996869   21.2179868988  
   9.25   22.3876182176   21.4227458571   21.2236621803  
   9.75   22.4835520595   21.4830864277   21.2878402826  
  10.25   22.5028959934   21.5231149851   21.3042971331  
  10.75   22.5790034155   21.5807773478   21.3965067492  
  11.25   22.6870621301    21.670441529   21.4319006631  
  11.75   22.8102507359    21.783751773   21.5186702753  
  12.25   22.9436770107   21.9007740075   21.6034206414  
  12.75   23.0596323003   22.0422596816   21.6855628094  
  13.25    23.266691683    22.232577634   21.7839860296  
  13.75   23.4037845365   22.3836290277   21.8916165704  
  14.25   23.6522220251   22.7247383597   22.1000115525  
  14.75   23.8638633795   23.0550682479   22.2441345029  
  15.25   24.1757407991   23.3839191869   22.4901986568  
  15.75    24.476543365   23.8061557083   22.6982613698  
  16.25   24.7053224459   24.2472656399   22.9332079494  
  16.75   25.1151636773   24.7716497706    23.175958751  
  17.25   25.4461868211   25.1233793937   23.3275893954  
  17.75   25.4772820522   25.3078826387    23.516916485  
  18.25   25.7039652966   25.3921229424   23.5892205583  
  18.75   25.7311478617   25.4729802622   23.6528343066  
  19.25   25.8411129196   25.4938576957   23.7493721423  
  19.75   25.9311161375   25.6970718615   23.8292129911  
  20.25   25.9460570202   25.8063632538   23.9134752331  
  20.75   26.0767960088   25.8154997667   23.9762197694  
  21.25   26.2081628378   25.8917488623   24.0111695244  
  21.75   26.3402398035   26.0111881962   24.1068332344  
  22.25   26.3244110519   26.1151664562    24.189453939  
  22.75   26.4644902102   26.2284857496   24.2352479226  
  23.25   26.5171332505   26.1958963965   24.3499036028  
  23.75   26.6954520235   26.3191868122   24.3802808087  
  24.25   26.6663591674     26.36217143   24.4419346393  
  24.75   26.6741889461    26.373531284   24.4776719017  
  25.25   26.8327813807   26.4839296452   24.5768627183  
  25.75   26.9506389802   26.6428211223    24.644064073  
  26.25   27.0301494601   26.6737279991    24.703969754  
  26.75   27.1005708195    26.777843869   24.7013188208  
  27.25   27.1707917141   26.7173022069   24.8289113365  
  27.75   27.3093719308   26.8793522994   24.8631950076  
  28.25   27.3953645355    26.862589191   24.8621287417  
  28.75    27.474890201   27.0362887142   24.9422360545  
  29.25   27.5249406209   27.1318989505   24.9662719141  
  29.75   27.6106483915   27.0410021733   24.9815405482  
  30.25   27.6813835732   27.2442677283   25.0517849724  
  30.75   27.8020035781   27.3733389948   25.1004920111  
  31.25   27.8511077115   27.2974699253   25.1396648758  
  31.75   27.8261651569   27.5385309162   25.1797064021  
  32.25   28.0555634362   27.5917713291   25.2412233666  
  32.75   28.1547504393   27.5228075204   25.2714435468  
  33.25   28.2660798469   27.7357339536   25.2887647785  
  33.75   28.2561053394   27.7772620121   25.3230552696  
  34.25   28.3454916964   27.8228613167   25.3214120096  
  34.75   28.4763741051   27.8582916271   25.3322722833  
  35.25   28.5078452322   28.0545397143    25.337082348  
  35.75   28.7099514289   28.0165200746   25.3069544617  
  36.25   28.6158481855   28.1222315357   25.3067337422  
  36.75    28.857873319   28.2021438403   25.3789045073  
  37.25   28.7498012133   28.3263526247   25.3601579487  
  37.75   28.7560279656   28.2888183723    25.404513129  
  38.25    28.982784785   28.4436052782   25.4286541095  
  38.75    29.016316788   28.4587889868   25.4785934932  
