  rfphase          ofphase           F070W           F090W           F115W           F150W           F200W           F277W           F356W           F444W           F560W           F770W          F1000W  
    12.75    13.3199306966   28.0384748373   25.6055171783   23.8396812502   22.7280407946   22.2693346863   21.5977584177   22.1163517939   22.5291489935   23.1969381345   23.1955624213     24.47829211  
    13.25      13.84228092   27.9844770546   25.6725557858   24.0383040136   22.8967202112   22.3996762119   21.6968670646   22.3466570683   22.7677783249   23.4980687457   23.4514336222   24.3016641486  
    13.75    14.3646311434   28.1109901199   25.8179578224   24.1559370169   23.0732501917   22.5166898393   21.8258025916   22.5412091148   23.0819860146    23.699212252   23.6669224543   24.3397058711  
    14.25    14.8869813668   28.0995059772   25.8862249248   24.4330751915   23.3946179338   22.7719526516   21.9903590753   22.8008208259   23.3628687355    23.989137101   23.8879174369   24.3988430611  
    14.75    15.4093315901   28.1170263694   25.8900655043   24.6413663097   23.6902120161   22.9516948359   22.1471792833   23.0854267435   23.7668726165   24.2617133019   24.0959210457    24.354491773  
    15.25    15.9316818135   28.0428848431   26.0888090962   24.9260668568   24.0375165461   23.2396081081   22.3313529072   23.4513572334   24.1965993702   24.6404496393   24.4039001174   24.3273161951  
    15.75    16.4540320369   28.1928327436     26.13874826    25.239574888   24.4568943221   23.5206330911   22.5214356279   23.8496987909   24.6044554239   24.8460662267    24.678677123   24.2781134556  
    16.25    16.9763822603   28.2106800494   26.1291225761    25.501526799   24.8485257203   23.7944159641   22.7300570436   24.1976321271   25.0937276953   25.1175362113   24.8156796062   24.2823303352  
    16.75    17.4987324837   28.3180925389   26.2599209131   25.8473501858   25.3037736886   24.1258836871   22.8315765809   24.5041980335   25.8198387546   25.3942829174   25.1123593761   24.2455848146  
    17.25    18.0210827071   28.4194742135    26.269916341   26.1746564935   25.7212386574    24.299601507   22.9279325495   24.8055212845   25.9360029168   25.4253201859   25.1898290863   24.2112389631  
    17.75    18.5434329305   28.3082571619   26.3100025866   26.2210178935   25.8378724137   24.5214151715   23.0006902221   24.8248434845   26.0368075734   25.5782370688   25.2488096922   24.1774861109  
    18.25    19.0657831539   28.3606142678   26.3818228863   26.4371804967   25.9403600722   24.6152534742   23.0426102462   25.0137443929   26.2406582936   25.6316282163   25.2394450864   24.1579081594  
    18.75    19.5881333773   28.3695738223   26.4976707013   26.4880036529   26.0380931752   24.6868339856   23.1389188355    24.921516123    26.304765052   25.5342557889   25.2734656403   24.1454742429  
    19.25    20.1104836007   28.4425935914    26.537730495    26.590914185   26.1083330891   24.7412561825   23.1955111201   25.0480286692   26.3206424782   25.6702804337   25.4227241567   24.2344026857  
    19.75    20.6328338241   28.7370168988   26.6959505054   26.6757799171   26.2935303982   24.8517197606   23.2577568282   25.0813914792   26.3909001573   25.6529499873   25.4140300375   24.1412707887  
    20.25    21.1551840475   28.5463981731   26.7660592128   26.7619954354   26.4291669917   24.9155077278   23.3161786033   25.1257665503   26.3672061431   25.6829152599   25.4545996239   24.2543514963  
    20.75    21.6775342709   28.8179427811   26.8155697018   26.8540169147   26.3936873622   24.9679398508   23.3872636834   25.1751305105   26.4849991691    25.671394818   25.4308968538   24.0938816238  
    21.25    22.1998844943    28.684049762   26.9378205009   26.9854445258   26.4940535928   25.0081985513   23.4075861637   25.2571214579    26.624667682   25.7571579694   25.4815252064    24.103152202  
    21.75    22.7222347177   28.7201154825    26.991611574   27.1507346827   26.6097994041   25.1226047756   23.4736162667   25.3252450986   26.5666848651   25.7770761929   25.5110477076   24.0998137696  
    22.25    23.2445849411   28.7951776757    27.056839667   27.1108727397   26.6641729908   25.1967820857   23.5363481499   25.3481005614   26.5165230867   25.8383626415    25.691299863   24.0278965878  
    22.75    23.7669351645   28.9399285578   27.1480564043   27.2633326613   26.7902273291   25.1910216946    23.588351348   25.4697391895   26.6375500193   25.9013087827   25.5438163739   24.0910546945  
    23.25    24.2892853879    28.911239236   27.1807621682   27.3077378688    26.799013066   25.3282233043   23.6383865482   25.5234111171    26.648719208   25.8395819759   25.6286162403   24.0811272765  
    23.75    24.8116356113   29.0653997009    27.336122558   27.4409691863   26.9900356473   25.3421455297     23.69343778     25.43948503   26.7421763755   26.0618656015   25.6433093978    24.100075526  
    24.25    25.3339858346   29.0396927041   27.5181922776    27.460568221    26.933156799   25.4280289578   23.7371031465   25.6235069566   26.7386632864   26.0177613346   25.6754525857   24.1918457555  
    24.75     25.856336058   29.1647818144   27.5431128799   27.4993606148   26.9493232689   25.4580151343   23.7934107707   25.5953638207   26.7872697648   25.9222942902   25.7374758575   24.1620440332  
    25.25    26.3786862814   29.3107630884   27.5904522771   27.7355927495   27.1199716004   25.5364231807   23.8373196262   25.7047970144   26.9247414904   25.9902295825     25.68984475   24.1256304675  
    25.75    26.9010365048   29.3401158644   27.6499253877   27.7621021912   27.1810590706   25.6097436842   23.8904931275   25.6556239796   26.8445252756   25.9289556688   25.6825098757   24.0755792653  
    26.25    27.4233867282   29.3717805948   27.6901042003   27.8529270123   27.3283523181    25.668544004     23.93587138   25.7107361206   26.9296641835   25.9249963792   25.6752304957    24.152962816  
    26.75    27.9457369516   29.4696700412   27.7731881587   27.8956154553   27.3902543613   25.6740086872   23.9970432826   25.7989678483    26.920231885    26.032863629   25.7450109347   24.1647196923  
    27.25     28.468087175   29.4596349286   27.9139548955   28.0514771135   27.4571732885   25.7596538988   24.0256390222   25.7336562232   27.0126609356   25.9254381323   25.8924877909   24.0898143298  
    27.75    28.9904373984   29.4984288355    28.014028241   28.1278946899   27.4880559365    25.841417125   24.0419782581   25.8580088461   26.9801771665   25.9803468218   25.8383796445    24.068628912  
    28.25    29.5127876218   29.6831841317   28.2362551786   28.2421717146   27.4663168421   25.7677997743   24.0976637767   25.8877262686   27.2018271632   26.0588423695   25.8555004361   24.0823250108  
    28.75    30.0351378452   29.5305123206   28.1424970518   28.3054288777   27.5719999418   25.8826164466   24.1543509655   25.9499260583   27.1246634777   26.0210319025   25.9597845658   24.1453186228  
    29.25    30.5574880686   29.6921558423   28.3904591088   28.3969851706   27.7414916935   25.9400241671   24.2132133522   25.9445036189   27.1348459258   26.0815943436   26.0531939308   24.1731809578  
    29.75     31.079838292   29.6836013442   28.3903744765    28.420785606   27.7001662245   25.9289470886   24.2513664816   25.9798739862   27.2991489791   26.1643490497   25.8815081338   24.2244953962  
    30.25    31.6021885154   29.7066057246   28.4591641957   28.6079834658   27.8539273961   26.0298471746   24.2886341395   26.0107597783    27.336112996   26.1704180729   25.9489345018   24.1593633938  
    30.75    32.1245387388   29.8892941967   28.5392736262    28.640250654   27.9272549778   26.0695097075   24.3428779805   26.0697945761    27.322613642   26.1532936232   25.9695950389   24.1661752775  
    31.25    32.6468889622   29.9498903399   28.6287386332   28.7282783187    27.954015219   26.1492157673   24.3519015796   26.1265329049   27.2653909954   26.2247520024   25.9757650663   24.1979559227  
    31.75    33.1692391856   29.9712170139   28.7877793036   28.7377575695   28.0600612369    26.152587922    24.424817385   26.1488027445   27.5409649448   26.3931716077   25.9435298168   24.2134916676  
    32.25     33.691589409    30.043161169   28.8606664047   28.9329108407   28.2047907862   26.2155865682   24.4618852543   26.1865496737   27.4162682954   26.3240266645   25.9911120774    24.181886951  
    32.75    34.2139396324    30.259188826   29.0520237825   28.9931340858   28.2042781216   26.2584116739   24.4861933637   26.2547451148   27.4131576717   26.3638144136   26.0581874621   24.1951072566  
    33.25    34.7362898558   30.2952232794   29.1394684095   29.1750965703   28.3169570036   26.2822833724   24.5444358436   26.2649006462   27.3816644127   26.4439586165   26.0013254356   24.1804679054  
    33.75    35.2586400791   30.2262358874   29.1913086936   29.1495567847   28.4074199316   26.3012506577   24.5793769545   26.2875762893   27.4720266141   26.5455047519   26.0741283338   24.2580996268  
    34.25    35.7809903025   30.1826538646   29.2818195289   29.2846802755    28.398269121   26.3404870839   24.6267036289   26.3431363954   27.4366556978   26.5522706865   26.1144648007   24.2814456029  
    34.75    36.3033405259    30.332072015   29.3168275082   29.3383171894   28.5426917288   26.4220383544   24.6913317538   26.4354478139   27.5164517924   26.6831499868   26.0682381318   24.2275550725  
    35.25    36.8256907493   30.1893162483   29.2101821715   29.3693557191   28.6842552149   26.4564027914   24.7048674806   26.5142833427   27.7952320977   26.6822049177   26.1955202474   24.2672699741  
    35.75    37.3480409727    30.113148427   29.2859535631   29.4614167533   28.6188829473   26.4637087364    24.760086563   26.6598831923   27.8200640239   26.7223028631    26.147914769   24.3049730441  
    36.25    37.8703911961   30.2557778148    29.328125768   29.5114461939   28.7354336778   26.4648193305   24.8167780731   26.6181557592    27.833585378    27.006718721   26.1488691164   24.3687345482  
    36.75    38.3927414195   30.1673136343   29.3504936727   29.7527107407   28.9055193659   26.6125860366   24.8542881512   26.6673504225   27.9882830985   27.0230608948   26.2300824425   24.3800397701  
    37.25    38.9150916429   30.3245457422   29.6376694036   29.6266947185   28.9735732584   26.5838440525   24.9194532754   26.6842675043   28.0328792059   27.0156863368   26.2529439874    24.469005999  
    37.75    39.4374418663   30.2785791116   29.3892994487   29.6476363126   28.9320549461   26.6754164555   24.9789699867   26.6990014582   28.1251985294   27.3124889954     26.26488243   24.4797418846  
    38.25    39.9597920897   30.1849937126   29.5327463426   29.7994595484   29.0247810765   26.7080365964   25.0112661036   26.8250612888    28.057698582   27.3479732438   26.3025446666   24.5393413047  
    38.75    40.4821423131   30.2716379855   29.5105835863   29.8502660535   29.2326676173   26.8234682472   25.0424194009   26.7866023989   28.1832532125   27.3567737988   26.3933113475   24.5903555957  
    39.25    41.0044925365   30.3888832597   29.5373109468   30.0568102739   29.2654910774   26.8044504562   25.0914742071   26.8865609078    28.109953538   27.3833682862   26.3753810884   24.5643282087  
    39.75    41.5268427599   30.5049945324   29.6797094146   29.8352454869   29.1746159174   26.8865677082   25.1044951435   26.8993496294   28.1710949057    27.330151948   26.4081828114   24.6149975468  
    40.25    42.0491929833   30.3646606789   29.4931233162   29.8930526491   29.3449463438   26.9127151743   25.1464593859   27.0407772555   28.1224893034   27.2918287153   26.5653577327   24.6706830164  
    40.75    42.5715432067   30.4063878902   29.4728172424   29.8869717086   29.4096832886   27.0540305915   25.1657195753    27.031923183   28.3045572333   27.3883623423   26.5778176369   24.7314168292  
    41.25    43.0938934301   30.3159099394   29.6998435662    30.018339175   29.5158753602   27.0389840616   25.1667511136   27.0688137525   28.3280496794   27.3227969523   26.6812345477    24.823680082  
    41.75    43.6162436535   30.3673770112   29.5721568053   30.1235429879   29.3984326102    27.075050869   25.2253252116   27.2558295921   28.3516877183   27.3653586987   26.8203004937   25.0084750812  
    42.25    44.1385938769    30.303124622   29.6216106948   30.1285856757   29.4698176843   27.1848172752   25.2628871663   27.2403266437   28.4282849455   27.3625742032   26.7873381655   25.0415936472  
    42.75    44.6609441003   30.0579511243   29.6391503661   30.0674892473   29.5877341464   27.2040210563   25.2881877267   27.4025371223     28.16182184    27.409906594   26.7526059314   25.1543291123  
    43.25    45.1832943236   30.1198143934   29.6623482546   30.4070303453   29.5900835401   27.2445719974   25.3076188346   27.3321180062   28.1117969077   27.4072356124   26.7857751603   25.2723954899  
    43.75     45.705644547   30.1097515158   29.5951454446   30.1025702386   29.5393272174   27.3219284264   25.3387521566   27.3779290489   28.0447235959   27.3829829886   26.7458673917   25.3479977696  
    44.25    46.2279947704   30.2428621778   29.6759697965   29.9826144764   29.6387637939   27.3921242799   25.3647551758   27.2914787439   28.0092438873   27.1831092178   26.6121830697   25.4122624733  
    44.75    46.7503449938   30.1622470397    29.733809436   30.1301071822   29.5356595837   27.4529492219   25.4384263078   27.3478006353   28.0171099898   27.2894428747   26.6233163508   25.4117173585  
    45.25    47.2726952172   30.1753735546   29.6742068368   30.2469007951   29.5399108193   27.5684298119   25.4541233678   27.4170205656   28.0609827338   27.2279984647   26.6703725414   25.5190174842  
    45.75    47.7950454406   30.0731666894   29.6894317923   30.1969177609   29.6284442187   27.5849701748   25.4406544194   27.4390510347   27.8732432468   27.1504420766   26.6672783444    25.595804862  
    46.25     48.317395664   30.1968052355   29.7898456758   29.9787525584   29.7199495273   27.6054263519    25.497290674   27.3901836296   27.8276674809   27.1253702301   26.6661614304    25.719848586  
    46.75    48.8397458874    30.203878991   29.6063606419   30.3450518287   29.7782013536   27.6884121481   25.5413134362   27.4284450295   27.7779220055   27.2317580187   26.6047364008   25.7521872634  
    47.25    49.3620961108   30.2246266838   29.6920506084   30.1913126954   29.9289770101   27.7077858671   25.5485957047   27.5229162886   27.7144109752   27.1303942686    26.541490743   25.9207260009  
    47.75    49.8844463342   30.3378078498   29.5677953518   30.1851536262   29.6574154511   27.7134453483   25.5963425571   27.5067973993   27.7014990989   27.0774168996   26.5466185345   26.0334702913  
    48.25    50.4067965576   30.3143825766   29.5914422057   30.1110490707   29.7439400341   27.7122894385   25.6342762782   27.4702041897   27.6437919141   27.1224984414   26.4625618076   26.0446102074  
    48.75     50.929146781   30.3141250333   29.5618417823   30.0899745889   29.7679066605   27.7050156045   25.6460809019   27.4363862725   27.5943817736   26.9021415489   26.4080249471   26.0221001223  
    49.25    51.4514970044   30.3745768636   29.4935525203   30.2238047369   29.5105107062   27.8990748391   25.6814325457    27.505402367   27.4537167817   26.8817792085   26.3557694408     26.05730821  
    49.75    51.9738472278   30.3909313696   29.4627173755   30.1165792228   29.6717817848   27.9202732918    25.732431583   27.5310143823   27.4516375768   26.8635267654   26.2907405693   26.0756658992  
    50.25    52.4961974512    30.412605415    29.437045925   30.0686009051   29.7977857559   27.8672716344   25.7911945178   27.4572691752   27.3364996614   26.7988602056   26.2295240899   26.0718403748  
    50.75    53.0185476746   30.4204206681   29.5294391929   30.2281340779   29.7034120263   28.0684053014    25.883429718   27.4847332015   27.3568030693   26.7022200546   26.1962761332   26.0030775561  
    51.25     53.540897898   30.4799695486   29.4661537715   30.2012637919   29.6851796738   28.1782582297   25.9491655624   27.4548913173   27.3169199631   26.5709698735   26.1310604102   25.9239961567  
    51.75    54.0632481214   30.3987986924   29.5339602237   30.1618557708   29.7494429098   28.3107661608   26.0299801055   27.5785142354   27.1993259885   26.5513139018   26.0434093147   25.9724518412  
    52.25    54.5855983448   30.3354042087   29.6353450095    30.427631605   29.8203128474   28.4398728024   26.0627957846   27.5193039379   27.1092150388   26.4983402831   25.9820924801   25.9228958001  
    52.75    55.1079485681    30.355718707   29.5459404569   30.4192742789   29.9423758486   28.4853029625   26.1742829249   27.5662325012   27.1391545056   26.4493557792   25.9228804645   26.0214953296  
    53.25    55.6302987915   30.6536472242   29.7055275126   30.5494552823   30.0592981178   28.5941590406   26.1966766806   27.5265460204   27.0125400463   26.3495587175   25.9092989617   25.8858541695  
    53.75    56.1526490149   30.5134838866   29.6451650056   30.5892406206   30.0166131192   28.6250091232   26.2639893186   27.5423184552   27.0486815356   26.4153364877   25.8132115011   25.8332210542  
    54.25    56.6749992383   30.5084432045   29.7613470628   30.6631459207   30.2161445071   28.7455227438   26.2751563799   27.5080974431   27.0288398626   26.3686173107   25.8303445731   25.8594398704  
    54.75    57.1973494617   30.6067052178   29.9481768493   30.6462962045   30.0791477607   28.8689109893   26.3644592898   27.5312083681   26.9865232998   26.2938755377   25.7891915531    25.857880726  
    55.25    57.7196996851   30.6915454154   29.9077774424   30.7577867872   30.2045916245   28.8953404035   26.4281058222   27.5786934698   26.9242566935   26.3024558136   25.7398143819   25.7841732034  
    55.75    58.2420499085   30.6523541449    29.971140146   30.6240135652   30.2764576935   28.8750137553   26.5324929816   27.6295052498   26.9508120577   26.2445239793   25.7094308076   25.7657219671  
    56.25    58.7644001319   30.7317666892   30.1112956339   30.9358087364   30.3887332853   29.0781086029    26.533795016    27.567265288   26.8687155217   26.1831127031   25.6657259663   25.7116461721  
    56.75    59.2867503553   30.9402366833   30.2548296509   31.0070440572   30.2942496832   29.1755572693    26.627529332   27.6330254144   26.8680289357   26.1893946263   25.6742754257   25.7076703186  
    57.25    59.8091005787   31.0293290509   30.2572126151   30.8954139357    30.378341468   29.2020270217   26.7083146699     27.60323276   26.8472012655   26.1457233505   25.6518281262   25.7097773067  
    57.75    60.3314508021   30.8822441241   30.4701172216   31.0175518187   30.7592960317   29.2856831877   26.7953216562    27.561323386   26.9048456097   26.2051813391    25.624217457   25.6939196258  
    58.25    60.8538010255    31.024889648   30.5216563069   31.2977405848   30.7444246242   29.5648690261   26.9026484351   27.6624296863   26.8394869916   26.1192505515   25.5995642194   25.7080658941  
    58.75    61.3761512489   30.9798007429   30.6277718799   31.6003345746   30.7767524051   29.5264159153    26.982188466   27.6779526326   26.8720699307   26.1324367665   25.6313865828   25.7045699585  
    59.25    61.8985014723   31.0522717957   30.6540795157   31.4497428198   30.7638359488    29.635624175   27.0094169587   27.6175022512     26.83808727   26.1050951503   25.5386598085    25.711213104  
    59.75    62.4208516957   30.8072029542    30.631225007   31.4811002342    30.811471291   29.6379539511   27.1304706024   27.6379928436   26.8345252504   26.1198069991   25.5934075605   25.6855128722  
    60.25    62.9432019191   30.8318474029   30.8145133596   31.8349278905   31.0382801007   29.7753234656   27.2693859735   27.6640314641   26.7971542057   26.1132694985   25.5566914987   25.6904637365  
    60.75    63.4655521425   31.0452036835    30.892062728   32.0235971201   31.2901611167   29.8911214483   27.3698514938    27.740519915   26.8338333034    26.071866512   25.5935569401   25.6888132624  
    61.25    63.9879023659   31.3408096018   31.0267080112   31.8765551864   31.4241035071   30.1742791957   27.4143924109   27.8326519698   26.8401354426   26.0778700809     25.58089504   25.6089561936  
    61.75    64.5102525893   31.3762345082   31.1063839964    31.823094923   31.1893667755   30.0852347525   27.5053134509   27.7587446584   26.8687233207   26.0554348247   25.5520744575   25.6526681778  
    62.25    65.0326028126   31.4400703904   31.1214357813   31.9621647472   31.5151209859   30.1981390283   27.7190785735   27.7938404426   26.7930524123   26.0603703262   25.5974746417   25.6164115334  
    62.75     65.554953036   31.0426799951   31.4209222465   32.0103851901   31.5913310307   30.4630276497   27.7732941617   27.7689615077    26.802221423   26.0747155153   25.5306764188   25.6613437658  
    63.25    66.0773032594   31.3560535807   31.3129873359   32.5264125175   31.3194150338   30.1867876252   27.8964366308   27.8259389194     26.85929783   26.0723382175   25.5271287734   25.6771424311  
    63.75    66.5996534828   31.6201847964   31.3851620692   32.0025632619   31.6130406307   30.4339975916   27.8995806403   27.8243778461   26.8118335426   26.0666499506   25.5319624584   25.6521088389  
    64.25    67.1220037062   31.9330961712   31.4264107676   32.2613508092    31.805921134   30.3713440579   27.9559102836   27.7815535118   26.8647026077   26.0501542754   25.5420275672   25.6805646861  
    64.75    67.6443539296   31.8927121434   31.7587707596   32.3577838359   32.2373517746    30.608590285   28.1425064187   27.8895566644   26.8282543201   26.0635230592   25.5817819382   25.6373810205  
    65.25     68.166704153   32.0333784878   32.0187117623   33.1830842908   32.1821640834   30.9188236412   28.2125705044   27.8827270656   26.8072072466   26.1096228068   25.5225211796   25.6617098883  
    65.75    68.6890543764   32.1360705175    32.164489934   33.2777873517   32.4308846132   31.1728652982    28.373883538   27.8953741084   26.7996546854   26.0524212651   25.5390463319   25.7096854077  
    66.25    69.2114045998   32.1575542443   32.2857073224   33.0690334825   32.3589087531   30.9458513583   28.4851600498   27.8911905658   26.8478284446   26.0866655179   25.5524723197   25.6864070928  
    66.75    69.7337548232   32.0771890769   32.9348738904   33.1574900277   32.7370358515   31.0961018096   28.5022235933   27.8852926367   26.8461614099   26.0818137427   25.5664672472   25.6309774602  
    67.25    70.2561050466   32.1449952535   32.7167372229   33.0669290121    32.559009823     31.23629155    28.527695796   27.9391667701   26.8772292525   26.0830129973   25.5597390213   25.6638280959  
    67.75      70.77845527   32.4169941346   32.8105807977   33.7255202487   32.9079360544   31.5354788567   28.6316392553    27.991462654   26.8795921321   26.1128225408    25.595187006   25.6771651271  
    68.25    71.3008054934   32.6499278984   33.4234210104   33.4618328674   32.8286958366   31.9350014948   28.7935128984   27.9066208949   26.8859040727    26.127429798   25.5738490074   25.6774757769  
    68.75    71.8231557168   32.7566927005   33.3392351559   34.8073904634    33.143753961   31.7849713245   28.9153736548   27.9660049074   26.9066376843   26.1284563981   25.5759527481   25.6732554353  
    69.25    72.3455059402   32.7960610937   34.3515627907   34.2857204514   33.1984481462   31.7000821958   28.8452575586   28.0003275489   26.9234418986   26.1248539634   25.6041356147   25.7294468154  
    69.75    72.8678561636   32.9990357969   34.2204258651   34.1954229648   33.6957943869   31.9828737741   29.0207586355   27.9690259445   26.9026817281   26.1180416881   25.6204343032   25.7102777437  
    70.25     73.390206387   33.1781698775   33.5096331368   34.1061540965   33.5733140406   32.1104787603   28.9134121306   28.0085006797   26.9352956389   26.1440657647   25.5805455778   25.7544217723  
    70.75    73.9125566104   33.5795155226   33.7137615266   34.4987568837   33.9670686677   31.8918374436   29.1180045952   28.0324911096   26.9223871583   26.1621307716   25.6165363376   25.7242986792  
    71.25    74.4349068338   35.0847505874   34.0507713387   34.8503339483   34.5674003854   32.5971316825   29.2600957254   28.0046115681   26.9432838156   26.1694586629   25.6283397105   25.7544783352  
    71.75    74.9572570571   33.7026736605    34.783037095   36.4125936742   35.0447520919   32.5521109627   29.3495551297   28.0166771965    27.000511174   26.1633728572   25.6289144334   25.7405904774  
    72.25    75.4796072805    33.512144228   35.8635694451   37.2220022414   34.7654321145   32.6121560725   29.4166167686   28.1010100511   26.9536793879   26.1764376579   25.6613560496    25.767360711  
    72.75    76.0019575039   33.8069432722   35.3950490029   35.5384704606   34.2040105416   33.2624306472   29.5529455283   28.0550987752   26.9778791689   26.2242366768   25.6931761007   25.7462249554  
    73.25    76.5243077273   35.3384554206   35.6474530633   35.9495639042   34.7683113004   32.7582634181   29.5219013973   28.1080016084   26.9794679094   26.2105647851   25.6855813319   25.7984977003  
    73.75    77.0466579507   36.4902097623   35.3472879348   36.6476118377   36.4574594792   32.9234656678   29.6919455738   28.0874715537   27.0518717341   26.2273960187   25.6978657709   25.7840606688  
    74.25    77.5690081741             nan   36.9018391603   36.5631562873   35.8172387788   33.7779254446   29.7543787121   28.0806033165   27.0557218156   26.2687597171   25.6963465301   25.8357838117  
    74.75    78.0913583975             nan             nan             nan             nan   32.9965804315   29.7153035096   28.1529132164   27.0097025317   26.2803819195   25.7111315201   25.8457913219  
    75.25    78.6137086209             nan             nan             nan   36.0353412509   32.7742958262    29.673079333   28.2133395847   27.0434949402   26.2773233452   25.7386945148    25.838798236  
    75.75    79.1360588443             nan             nan             nan             nan   32.9530353673   29.7295993818   28.0739836473    27.085305853    26.259020649   25.7286606501   25.8331123317  
    76.25    79.6584090677             nan             nan             nan             nan   33.1070051137   29.6460536836   28.1704643502   27.0752990734    26.277399305   25.7291595715   25.9142580641  
    76.75    80.1807592911             nan             nan             nan             nan   33.0580282046   29.9929138377   28.1988989446   27.0748443837    26.306070607   25.7879355689   25.9082202057  
    77.25    80.7031095145             nan             nan             nan             nan   33.5947175542   29.7630583565   28.1319402272   27.0496177935   26.2970789736   25.7795945746    25.921345723  
    77.75    81.2254597379             nan             nan             nan             nan   33.7151560738   29.8796849283   28.1796339492   27.1200417838   26.3325382479   25.8008018059   25.8989208178  
    78.25    81.7478099613             nan             nan             nan    35.786074984   33.2793224275   29.8537890702   28.2092478197    27.195073439   26.3142312813    25.824663518   25.9013488485  
