  rfphase          ofphase           F070W           F090W           F115W           F150W           F200W           F277W           F356W           F444W           F560W           F770W          F1000W  
     0.25   0.261175111697   26.0293592649   25.3017456894   24.9823604204   24.7675027191   24.9546406492   24.9639755643   25.0051469559   25.5334162467    25.880855444   27.1210576503   32.8961308148  
     0.75   0.783525335092   25.8981767162   24.4612352818   23.7404475126   23.4090666316    23.385349937   23.4733285975   23.2377780926   23.5163179861   24.2792343895   25.0597962147   30.6603971484  
     1.25    1.30587555849   26.5940256927   24.4628308221   23.2877517697   22.9444397017   22.8585693069   22.8084177415   22.5987113726   23.0149922239   23.6118263444   24.2744349369   30.5698175891  
     1.75    1.82822578188    26.890552549   24.3275203582   22.9525153632    22.586415153    22.605926011   22.3242565594    22.208091749   22.5576105288   23.3319954685    23.847591865   28.0183612696  
     2.25    2.35057600528   26.9170073808   24.2736272953    22.692726597   22.2486464813   22.3747624657   22.1088769237   21.9968238317    22.182711389   22.9463234418   23.3546352201   28.4720954917  
     2.75    2.87292622867   26.9828681584   24.2107461243    22.566312661   22.1120805555   22.2673902252   21.9038286573   21.8236917196   22.0760808978   22.6790595247   23.2214526421    27.585164333  
     3.25    3.39527645207   27.1940088639   24.1726649612   22.5420226624    21.998484481   22.1752360887   21.7810542483   21.7976667031   21.9757765292   22.5775655982    22.987469035   28.2781472062  
     3.75    3.91762667546    27.381241059   24.2312886457   22.5140365474    21.904127429   22.0905817897   21.6852013095   21.7463127494   21.8698254469   22.5111527874   22.8342792706   28.1372017634  
     4.25    4.43997689886   27.4344929547    24.356987484   22.5173042201   21.8846080864   22.0540932343   21.5770831867    21.741210001   21.8576558582   22.3553590455   22.7689434785   27.4880501709  
     4.75    4.96232712225   27.5177010217   24.4325233999   22.5667298895   21.8605145906   22.0415161666   21.5600313605   21.6974150726   21.8367494807   22.2814335436   22.5617431475     27.07517551  
     5.25    5.48467734565   27.7562035321   24.4527754322   22.6542884683   21.8886899449   21.9965423429   21.4941350022   21.6326206946   21.7590515931   22.1473889914    22.532426691   26.4070813275  
     5.75    6.00702756904   27.7890430925   24.5247892968   22.6961002485   21.8625536248   21.9632639838   21.4286063099   21.5869990004   21.7345990784   22.1257191708   22.5048318833   26.5019121332  
     6.25    6.52937779243   27.7284996856   24.6135869339   22.7729494023   21.8578967823   21.9296845689   21.3816919633   21.5446609315   21.6782410389   22.0704659496   22.4800644514   26.0377119807  
     6.75    7.05172801583   27.7834356243   24.6132628621   22.8294875861   21.8446066674   21.8813763793    21.365443646   21.4776121161   21.6679498656   22.0525795852   22.4256377592   25.2566114749  
     7.25    7.57407823922   27.8251095234   24.6340089813   22.9047634189   21.8660951727   21.8630434656   21.3146284383   21.4404110867   21.6216542955   21.9694578279   22.3953474457   25.5277239262  
     7.75    8.09642846262   27.8695616278   24.7855715309   22.9665193619   21.9407711862   21.8746282333   21.2883791149     21.43501928   21.5885549427   21.9910668868   22.4228017866   25.4199900114  
     8.25    8.61877868601   27.8522472554   24.8316157987   23.0120333325   21.9454380997   21.8309466695   21.3001738628   21.4235004122   21.5471957213   22.0635485311   22.4512899499   24.8540593595  
     8.75    9.14112890941   27.8635396926   24.8944447167   23.1141629635   21.9977644103   21.8813574222   21.2619296223   21.4415670679   21.6096196002   22.1061643708   22.4297013083   24.9795105978  
     9.25     9.6634791328   27.8268927994   25.0150196201   23.1620596974   22.0362344276   21.8617031084    21.268647615   21.4676020307   21.6662617171   22.1643583973   22.4934803336   24.6765266988  
     9.75    10.1858293562   27.6865625615   25.0075775769    23.252883024    22.097517511   21.9410314765   21.2803155071   21.5040873388   21.7017767563   22.2774854569   22.5771410784   24.8179839072  
    10.25    10.7081795796   28.0518784021   25.1103282922    23.287583483   22.1602589616   21.9300369119   21.2841650963   21.5911006015   21.7906608787   22.3725077345   22.6425259536   24.4554282413  
    10.75     11.230529803   28.0566151114   25.2344595188   23.3810405115   22.2170572988   22.0162583738   21.3446384991    21.663669112   21.8856862541   22.5270762518   22.7376936765   24.5495971749  
    11.25    11.7528800264   27.8978810252   25.2195537812   23.4888908329   22.3151369811   22.0428828556   21.3715828288    21.728793233   22.0293719849     22.67605956   22.8187943047   24.3590332882  
    11.75    12.2752302498    28.158779965   25.3428025674   23.5879872833   22.4442594508   22.1112543721   21.4187954269   21.8706510889   22.1733811339   22.8845941975   22.9438464906   24.6097084625  
    12.25    12.7975804732    27.854990623   25.4174067202   23.7056684058   22.5776430163    22.182922033   21.4808020415   21.9519153959   22.3393065578   23.0303619386   23.1378624274   24.4381770339  
