  phase           F115W           F150W           F200W           F560W  
  45.25    26.739832332   26.0886258422     23.29303354   23.4279759123  
  45.75   26.5188772724   26.2095883369   23.3769988264   23.3480101667  
  46.25   26.3867399452   26.2976223665    23.501060948   23.3345931273  
  46.75   26.6494150653   26.2744423802   23.5391193693   23.3897445676  
  47.25   26.5155594189   26.3709966987   23.5745536921   23.3760910676  
  47.75   26.5426717544   26.2066699227   23.6143613078   23.3281061551  
  48.25   26.4793007977   26.2844146065   23.6729114619   23.3658549636  
  48.75   26.3697749909   26.3466218665   23.6731660564   23.2738682884  
  49.25   26.5163657067   26.1224520318   23.7623429171   23.2179783879  
  49.75   26.4992107676    26.291428865   23.8536542278   23.2010621934  
  50.25   26.4783207407   26.3551521762    23.844797913   23.1581770026  
  50.75   26.6146829003   26.3396345518   24.0406374895   23.1200048351  
  51.25   26.5606284204    26.311076707   24.0924597645   22.9907670186  
  51.75   26.5767305856   26.3531990631   24.1966479605   22.9569285821  
  52.25    26.833390768   26.4158634898   24.3329421865   22.9153826415  
  52.75   26.8311527703   26.5356741174   24.4143355817   22.8843740447  
  53.25   26.9093422401   26.7114168981   24.6343756671   22.8136802944  
  53.75    27.014891373    26.697731902   24.7096346315   22.8732578712  
  54.25   27.1003882597   26.9115277435   24.8680795228   22.8137562886  
  54.75   27.1759474113   26.7087318548   24.9487168136    22.743956873  
  55.25   27.1336638327   26.8111319944   24.9835708637   22.7734537745  
  55.75   27.0745847247   26.9432132066   25.0220655283   22.6936400697  
  56.25   27.4691920364   27.0582809994   25.2405657143    22.674878658  
  56.75   27.4060721397   26.9622408068   25.3998704334     22.66323916  
  57.25     27.38573269   27.0520253525   25.4752257818   22.6389007324  
  57.75   27.4521504465   27.4877169545   25.4987486398   22.6633817178  
  58.25   27.8407414115   27.3628810009   25.6639684433   22.6080955439  
  58.75   28.0061108847   27.5401023955   25.7502521876   22.6153011542  
  59.25   27.8506036288   27.4388522497   25.7091676254   22.5835809854  
  59.75   27.9554278146   27.4590076002   25.8318999324    22.600863539  
  60.25   28.2321259431   27.8317212093   26.0439181418   22.5915508103  
  60.75   28.4668856048   28.1359564495   26.1071316839   22.5690341522  
  61.25   28.2906081437   28.0531795488   26.3359536281    22.572974859  
  61.75   28.1984081623   27.8719922538   26.3371908899   22.5353494899  
  62.25     28.53185157   28.2076168923   26.3638921996   22.5405647047  
  62.75   28.6016724323   28.2352081378   26.5789292946   22.5581656234  
  63.25   28.8588314211   28.0796653649   26.4406644104    22.567182389  
  63.75   28.6276570293   28.3792819398   26.6465248169   22.5422836424  
  64.25   28.8025908798   28.4409422444   26.6759371887    22.548436943  
  64.75   28.9448313425   28.9157054302   26.8216333418   22.5460852497  
  65.25   29.6174705438   28.9735476952   27.1178617032   22.6100890016  
  65.75   29.5012889843   29.1494563269   27.2561893909   22.5485633902  
  66.25   29.4047495419   29.0581353346   27.1236285118   22.5724753364  
  66.75   29.5593551578   29.4369029446    27.313351649   22.5547974908  
  67.25   29.6355748111   29.3136172985   27.5267937686   22.5783390641  
  67.75   30.0488590429   29.2183464691   27.7650294621    22.611155211  
  68.25   30.1726354583   29.5403178807   27.9409522669   22.6239392244  
  68.75   31.0799140885   29.8007854044   27.9003382855   22.6131899922  
  69.25   30.8777091684    29.975408459   27.9237353646   22.6119644928  
  69.75   30.5928124456   30.1323053325   28.1683931274   22.6239329373  
  70.25   30.6577551556   30.3198421766    28.401443903   22.6528050928  
  70.75   30.8349780495   30.2872354748   28.1848714128   22.6593029258  
  71.25   30.8693066833   31.5811287116   28.4847936206   22.6837448444  
  71.75   33.0353366044   32.2442516175   28.5475021096   22.6639738778  
  72.25             nan   31.5179413648   28.8403423638   22.6715195714  
  72.75   33.1781716016   30.6338403568   29.2821127451   22.7042369707  
  73.25   33.0730903551   31.2948257558   29.0085317238   22.6970750277  
  73.75   33.2463225075   33.0539583531   29.3867324854   22.7201377427  
  74.25   33.1564092287   32.4015753968   29.9565924347   22.7630512071  
  74.75             nan   33.4004551838   29.0993744225   22.7757045139  
  75.25             nan   31.9707451047   28.9697301308   22.7677188404  
  75.75             nan             nan   29.0953913806    22.766286762  
  76.25             nan             nan   29.2800616236   22.7838394453  
  76.75             nan             nan    29.239914547   22.7923550341  
  77.25             nan             nan   29.5514247477   22.7892255476  
  77.75             nan   37.4930003273   29.5618554456   22.8117652114  
  78.25             nan   32.3836006379   29.3378935592   22.8027260132  
  78.75             nan   33.1920186114   28.9982437828   22.8453373807  
  79.25             nan   33.2711213657   29.1731780789    22.822093993  
  79.75             nan   33.6760574544    29.048820214   22.8934580165  
  80.25             nan   32.4736835545   29.8143533823   22.8789966451  
  80.75             nan             nan   29.2881992191   22.8956107235  
  81.25             nan   33.2688807293   29.3464043834   22.9146682018  
  81.75             nan   32.0376733708   29.0995786445   22.8955381355  
  82.25             nan   32.5053830146   29.4726585215   22.9320701834  
  82.75             nan             nan   29.2267037194   22.9302259299  
  83.25             nan             nan   29.3116548405   22.9553971265  
  83.75             nan   33.3024362105   29.6053413679   22.9679497514  
  84.25             nan   31.7984863955   29.5284837025   22.9903966151  
  84.75             nan             nan   29.4406161494   23.0367406284  
  85.25             nan             nan   29.7941365082   23.0039720508  
  85.75             nan   33.4048308924    29.384076316   23.0039334721  
  86.25             nan   33.3779642172   29.4727299643   23.0068705103  
  86.75             nan   33.3308904907   29.3644298525   23.0132797316  
  87.25             nan   33.3749084607    29.595804638   23.0566359073  
  87.75             nan             nan   29.7705835711   23.0642197535  
  88.25             nan             nan   29.5255290538   23.0576726222  
  88.75             nan   33.4315289388   29.5958096177   23.1116565867  
  89.25             nan    33.395409214   29.5066094486   23.0943493126  
  89.75             nan   32.7218668765   29.5954905281   23.1239509424  
