  phase           F115W           F150W           F200W           F560W  
   0.25   21.5730434688   21.3480519596   21.4852194242   22.5816402022  
   0.75   20.2848192924   19.9840782795   19.9054089622    20.863992103  
   1.25   19.8520561727   19.5051832895   19.3099620096   20.2300502538  
   1.75   19.4746140586   19.1625808933   19.0369382831   19.8658754973  
   2.25    19.208519657   18.8280476732    18.778049985   19.5292978974  
   2.75   19.0429293356   18.6851153004   18.6557625533   19.2811995819  
   3.25   18.9888461311    18.574893103    18.560439337   19.1453327052  
   3.75    18.942437289   18.4764344452   18.5111971872   19.0851000301  
   4.25   18.9312457588    18.450453351   18.4588472143   18.8905567196  
   4.75   18.9746009939   18.4246395503    18.480294494   18.8316266894  
   5.25   19.0344423206   18.4427150213   18.4382949938    18.730555557  
   5.75   19.0832443269   18.4129721421   18.4013713404   18.6742653372  
   6.25   19.1682046069     18.40188629   18.3972424739   18.6242085197  
   6.75   19.2062362001   18.3861400431    18.345496671   18.6067538122  
   7.25   19.2975376093   18.4096316284   18.3385815966   18.5365841467  
   7.75   19.3553057168   18.4693234875   18.3522704943   18.5508774515  
   8.25   19.3898437345    18.468741745   18.3189286515   18.5995747356  
   8.75   19.5037504141   18.5152424623   18.3643307758   18.6644574086  
   9.25   19.5518596529   18.5459301864   18.3631530201   18.6946344436  
   9.75   19.6488496422   18.6070084321   18.4338545488   18.7834770469  
  10.25    19.660447208   18.6516188523    18.443150053   18.8918127597  
  10.75   19.7453808972   18.7080865447   18.5396755041   18.9752474266  
  11.25   19.8568597579   18.8013129533   18.5691397209   19.0956424516  
  11.75   19.9710185631   18.9158280201   18.6565153476   19.3210133276  
  12.25   20.1084368579   19.0370983759   18.7345913123   19.3901558496  
  12.75   20.2248374177   19.1778906628   18.8115967539   19.5859096952  
  13.25   20.4325234116   19.3630954722   18.9117960058   19.8320634328  
  13.75   20.5615662573   19.5192254118   19.0205146163   20.0036458822  
  14.25   20.8196864014   19.8630239966   19.2311185224   20.2611731245  
  14.75   21.0288055482   20.1849055245   19.3923580121     20.53799984  
  15.25   21.3259275583    20.523323562    19.642843018   20.8628062048  
  15.75   21.6335154723   20.9419570708   19.8756008552   21.0243787186  
  16.25   21.8746919235   21.3706374647   20.1185412312   21.2448765869  
  16.75   22.2789457689   21.8963793599    20.367364116    21.405235124  
  17.25   22.6078411024   22.2676301661   20.5445040766   21.3916984715  
  17.75   22.6377472954    22.432415015   20.7245339095    21.534967638  
  18.25   22.8866775589   22.5254609883   20.8174635125   21.6578970483  
  18.75   22.8959990665    22.602719837   20.8507590067   21.5825913281  
  19.25   22.9853946705   22.6257247615   20.9576756068   21.7103562901  
  19.75   23.0937265564    22.845649586   21.0380258833    21.688055691  
  20.25   23.1169917996   22.9701830438   21.1363825433   21.6618640459  
  20.75   23.2307766576   22.9425107558   21.1870549295   21.7415533646  
  21.25   23.3610180712   23.0280058776   21.2309002348    21.743110092  
  21.75   23.5027951349   23.1516704741    21.321927041   21.7571634926  
  22.25   23.4895049579    23.245100191   21.4053888305   21.8391481565  
  22.75   23.6230783838   23.3701792522   21.4373458918   21.8123350996  
  23.25   23.6782070221   23.3350437875   21.5620658029   21.8473481143  
  23.75   23.8458759313   23.4667296794    21.575203772   22.0118716389  
  24.25   23.8607570655   23.5032703119   21.6444834787   21.9802522855  
  24.75    23.845026364   23.5111440249   21.6795204105   21.9422767506  
  25.25   24.0076234233   23.6257528454   21.7890001336   21.9433159406  
  25.75   24.1414093913   23.7704616028   21.8603407667   22.0280188538  
  26.25   24.2174459605    23.832919289   21.9061232677   22.0033357768  
  26.75   24.2606406359   23.9079098084   21.9114142352   22.0497349442  
  27.25   24.3417580424   23.8676830806   22.0221759271   21.9747026113  
  27.75   24.4843173934   24.0199092677   22.0776534119   22.0206371862  
  28.25   24.5838284989    24.007896646   22.0630292729   22.0775638054  
  28.75   24.6673525305   24.1645917114   22.1365129447   22.0051959814  
  29.25   24.6958164834   24.2947521596   22.1641179586   22.0582761835  
  29.75   24.7769831037   24.2049222681   22.1819361694   22.1688516619  
  30.25   24.8945299172   24.3964879914    22.251811014   22.1612568994  
  30.75   24.9921586357   24.4940146157   22.2930672251   22.1473365815  
  31.25   25.0027383215   24.4474193514   22.3435125021   22.1867169888  
  31.75   25.0569526009   24.6922351474   22.3725448341   22.3216916718  
  32.25   25.2337928985   24.7505947344   22.4376659557   22.2539277857  
  32.75   25.3225009486   24.7006555872   22.4757601737     22.28007196  
  33.25   25.4796757781   24.8989706803   22.5022664574   22.3523441965  
  33.75   25.4551065567   24.9426482191   22.5269218234   22.3788139563  
  34.25   25.5271679909    24.967864536   22.5234875988   22.3883896433  
  34.75   25.6534643025   25.0017942129    22.535729965   22.5075886864  
  35.25   25.6610097773   25.2118301697   22.5479145181   22.5228992742  
  35.75   25.9065718668   25.1689263651   22.5333439197   22.5509478504  
  36.25    25.801777616   25.2904430484   22.5190313166   22.7511084699  
  36.75   26.0529029222   25.3514568812   22.6061212402    22.783699836  
  37.25   25.9368681611   25.4765924976   22.5902462573   22.7960477635  
  37.75   25.9431030888   25.4520490691   22.6445712605   23.0498804186  
  38.25   26.1246802719   25.5853018024   22.6810623939   22.9885461578  
  38.75   26.1977982125    25.683726139   22.7301656624   23.1152866474  
  39.25   26.3628155548   25.7730540369   22.7460287829   23.2691528641  
  39.75   26.2424472572   25.6932358422   22.8074363863   23.3350331623  
  40.25    26.228299379   25.8673354104   22.8433080649   23.2441915643  
  40.75   26.2957742363   25.8478198978    22.896095086   23.2802838626  
  41.25   26.3480846554   25.9714393817   22.8818061786   23.3006978697  
  41.75   26.4356150178   25.9120527621   22.8948129497   23.2578542989  
  42.25    26.483429295   26.0389858808   22.9508415002   23.3841928813  
  42.75   26.5338949654   26.0568976124   22.9788094954   23.4384525957  
  43.25   26.7310314574   26.1535312933   23.0389370245   23.3990604658  
  43.75   26.5453293958   26.0489876717   23.0681301573   23.4959333825  
  44.25   26.4853847979   26.1453521887   23.1814109032   23.3656370295  
  44.75   26.6425056804   26.1231195608   23.1989395707   23.3930148555  
