  rfphase              ofphase               luminosity               f200lp                f218w                f225w                f275w                f336w               f350lp                f390w                f438w                f475w                f555w               f600lp                f606w                f625w                f775w                f814w               f850lp                f105w                f110w                f125w                f140w                f160w  
     0.25   0.2522957674485286   1.1494816844182134e+42    17.15895297878062   18.010249561992676    17.65431863070308    17.15059084534809   16.807470024317844   17.126240327816895   16.785699830164194   16.835439683318313   16.899893041573723   17.005071070404533   17.695557220785037    17.17536403501895   17.302802534157895    17.81004892036962   17.917470755754664    18.26069558711424   18.540574774841836   18.665248914909093   18.849022079155677   18.970757491359144     19.1240250801757  
     0.75   0.7568873023455858   4.6255711489816695e+41   17.787087637770245   23.311676853408834   22.716891342507076   21.286466036431413   19.470935204861235   17.342529660017835   18.409821289605745   17.891420389126385   17.278332343410476   16.980339726972982   17.277878723410396   16.929061636346447   16.941342603771396   17.327777608518605   17.422514834073745    17.78953175686402    18.18907094922585    18.38114239959432   18.688655127125514   18.907768165351605   19.101102925996496  
     1.25    1.261478837242643    3.041286689502638e+41   18.376277803823726    25.57334983308683   24.753051333405175   23.004716030251164   20.790918507274405   17.904124739945782    19.86712933789392    19.48477831183194    18.55350875176864    17.90344099778158   17.371333468517797    17.56332536269087   17.364541664131693    17.33604432123217    17.37259977697684   17.552099695335183    17.97953573684552    18.11616590233175    18.36636826349418   18.453069448884843    18.58132588641631  
     1.75   1.7660703721397002    2.239928122616873e+41   18.947626488920484   26.985786541528825   26.259288278418108   24.507369413508123     21.9223518374126    18.46516066779854   20.835834560313526   20.322231454470685   19.422610878561244   18.783532334604224   17.743611921454413   18.355598651345435    18.13731593008695   17.571963977669192   17.553555339388375   17.599227787993694   17.968363167614495    18.10103910952037   18.340974418978398     18.2997211988804    18.27568531550919  
     2.25   2.2706619070367573   1.9914587582077586e+41    19.32421654898985   27.698715928936497   26.923464529155133   25.277179586360084   22.662866995954694   18.837905704429946   21.445279595322436    20.84995518641708    19.99133865262949   19.322081004057864   18.047381765796473    18.83154948868713    18.58925887368744   17.918837729725084    17.82366184491198    17.64855240172514    17.84676153755851   17.991883093773886   18.213964589877012   18.171733039766643   18.100131404110247  
     2.75   2.7752534419338146    1.798584130735457e+41   19.643394120859597    28.16273500084059   27.431785947110583    25.79624123788529   23.175491590950116   19.155732251959908    21.85870476845689    21.19382460771901   20.376288669199138   19.714574049557793   18.339300562296703   19.195287852455962    18.94545981942284   18.237008626621737   18.110589790980164    17.83923948908909   17.872218860433826    17.98599872588736    18.12740425488871    18.12292480052782   18.093899610122982  
     3.25    3.279844976830872   1.5438931561068117e+41   19.943439032950693   28.418497330658607    27.74200818460301   26.181768673717514    23.59370251307221    19.45558936856426    22.16291797400897   21.414345598644715   20.661133942867274    20.02433102529161    18.63693112077523   19.504076201436533    19.25489629729916    18.53467285053065   18.407299274782286    18.13284003084136   18.108777248803502     18.1883975756892   18.277431056008762   18.217957717246897   18.147929949773808  
     3.75   3.7844365117279293    1.352021279998999e+41   20.210032752333806   28.742129176376338    28.11939185912644   26.591660219872985   23.946657789997595     19.7221424162735   22.441481372310797    21.64726510374492   20.886484233938763   20.276625152713958   18.906508992468346   19.768038899524843    19.52716498276782    18.80105703234358   18.678749535054592    18.41215028827424   18.351995491837496   18.388155286683226    18.43519062020265   18.298040103407814     18.1994956396494  
     4.25    4.289028046624987   1.2244667450419216e+41   20.453833104509112   29.105309990605175    28.45185947514855    26.91022010459609   24.256283674611883   19.966078907020446   22.695807598995565   21.843688499861805   21.087520551470725    20.49923837030831   19.157088200869648   20.002539747126747   19.768193755314797    19.04974268971238   18.931529180972987   18.670999933739978   18.561473754303584   18.555178699472112   18.556865341946878    18.36619230928926   18.224286965757518  
     4.75   4.7936195815220435    1.134183324697514e+41   20.667842267182948   29.340747609871656   28.850095053481134    27.25341980254114   24.582355270085273    20.18001521038415   22.938673922666013    22.04537356222911   21.278946809205824    20.69614146672712   19.375807456373813   20.209818763768837    19.97952871186683    19.26785583075928   19.151181909820828   18.896167586064507   18.741032748662647    18.67429861442771    18.61738424114828   18.400800551814637    18.25555046974555  
     5.25      5.2982111164191     9.74708409534273e+40   21.223983563161834   29.974229872307355    29.48391856619055   28.192037398266223   25.460063675435986     20.7356102307893   23.608670987124427    22.61534567593425   21.807073989903174   21.231357873008445    19.93479701202466    20.77003376604869     20.5493765275173    19.84852220359672   19.708187647943685   19.388348484669862   19.062681509716775    18.89355210140352   18.739628985185178    18.47851062921913   18.305749447556597  
     5.75    5.802802651316158   1.0183985408776098e+41    21.12335321133818   29.864644424599682   29.380788214304125    28.07764731816027   25.344293456847495     20.6351848893182    23.49289573438578    22.49957118691549   21.690213985102147   21.114861698093407    19.83943422488067   20.655408257277735   20.435672079781376   19.742157141703156     19.6161371705244   19.334284642377828    19.06122896130119    18.87657860684916   18.722088917235133   18.459682135574166   18.287044951301365  
     6.25    6.307394186213215   1.0150083644741716e+41    21.17685776226232   29.916356061607097    29.43337120729299   28.126471020645738   25.392659539385484    20.68874733342085    23.54126000198337   22.547935017214094   21.739868226709667   21.165297338904622   19.893952708699576   20.700217578459505   20.479303819897556   19.793794974197485   19.674498825142983   19.406427186120062   19.128742277579796    18.93988943868953    18.77651247157987   18.480466166662424   18.272212690746382  
     6.75    6.811985721110273    9.909159136253104e+40   21.352960673358652    30.10173495487641   29.612381718705578   28.318144125649507    25.58583991836012    20.86464206102754    23.73445856211876    22.74113375486996   21.930133095509106   21.355474449506737     20.0649837494705    20.89280135492287   20.674031454990047   19.974802649080186   19.837398038747374   19.532833950137572    19.22240093065134    18.98901496488426   18.800370921605733   18.481734310019863   18.270475662962824  
     7.25     7.31657725600733    9.541435173899103e+40    21.60207123358173   30.368216556794465   29.867576000652043     28.5918937388792   25.861924442088288   21.113431874823945    24.01055812949891    23.01723246390467    22.20595138616481   21.630504344110875    20.30528563181016    21.16692058503613   20.947423680284686   20.230750116523502   20.074626794132527   19.712958440877024    19.35007099047187    19.06693465013514   18.858014342556444    18.52572312148239   18.303449049681994  
     7.75   7.8211687909043865    9.009514225020386e+40   21.884921698217514   30.660340894326893    30.15574823195321    28.89366782065893   26.165546095022023     21.3960444621547   24.304082450730718   23.316666851719198   22.508432825711957   21.932935900157993   20.581135991052896    21.46310856178283   21.241533767563872    20.52094927397987    20.34970438291502   19.956415274249856   19.481903888457406    19.17056862912438   18.918898547212386   18.598737168918124   18.375460695633894  
     8.25    8.325760325801443    8.712231087513266e+40    22.14959441455281    30.95047413021402    30.43006378274612   29.190818405996563   26.465384528286222    21.66024879403957   24.614091527506265    23.62076639998151   22.809193586257464    22.23135938459186    20.83519215859504    21.75725173493205   21.536475636327182   20.779612030131815    20.59453566908966   20.154700896217086   19.584519431894737   19.230230331440353    18.95680627283556    18.61581561609459    18.37876179506183  
     8.75    8.830351860698501    8.274318198995946e+40   22.393378673930002   31.202540563280525   30.680947668255477    29.47010467702804   26.748229548918516   21.903628490483587   24.880538551191105   23.894233102082964   23.088251553627998   22.512147646082123   21.067983534003783    22.03765205406264   21.816935489250604   21.023859965372917    20.81835494270859    20.33552006036567   19.715149909917645   19.334229411048874   19.049250479092336    18.68998088339023   18.433928103789516  
     9.25    9.334943395595559    7.922379435798873e+40   22.621846364218175    31.46750576849155    30.92031191975078   29.729278092336536   27.010078173796593   22.131717370244367    25.15883261443181   24.165506358521206   23.349136566514684   22.767032286268606   21.286739272713476   22.283070999321918    22.05661224551073   21.267708495177295   21.038247633891118   20.512078527771394   19.807173252182515   19.387308260182817   19.072589413413745   18.735181413273086    18.47347866779389  
     9.75    9.839534930492615    7.496516177015734e+40    22.79135791570614   31.681009021367764   31.107801506935914   29.963511817469804   27.250861128461317   22.300485895463403    25.39969596321994   24.406368354569516   23.594423753646915    22.99894952141696   21.439335961930446   22.509703767797436   22.280712265274364    21.41778500231405   21.177734712194102   20.610259838730364    19.90700857934823   19.478764176624118   19.160572357848366   18.806487130659075    18.53424691528496  
    10.25   10.344126465389673    7.147784514182151e+40   22.989996702762458    31.88904488263735   31.310289655903688   30.182443651305967   27.472371897852245   22.499005918648116   25.621150703046027   24.627821676502876   23.795141858686783   23.209914980496016   21.634357041556317    22.73626369694926    22.51306986132245   21.639441168401227   21.374718978697366    20.75850323601726   19.974880691397182   19.526858695414678    19.19770661668393   18.858874453308296   18.582949167194283  
    10.75    10.84871800028673    6.659469316894744e+40   23.167017831386378   32.082140969585495   31.495067890101023    30.38430976237432    27.67636286403915   22.675602633240324    25.82521338782029   24.831886783968557    24.01923285469958   23.424016061828034   21.801694427717592   22.928717923657604    22.69979110759267   21.800456641482384   21.543061461192693   20.926062823552567   20.085334188169632   19.605133746811262   19.258007614663818   18.925375603193377   18.647835130979388  
    11.25   11.353309535183786    6.225604186310943e+40   23.286702003092163    32.24686500280379   31.631351239795094    30.56645657614396   27.864927566112595   22.794570740300312    26.01388969285403   25.020562628935103   24.205193217238353   23.611643797435516    21.90414713739238    23.09701668804555   22.866921972602448    21.88515466260145   21.628608219860197    21.00458155466267   20.194144652280954   19.694345795806974   19.342255896499935   19.027594264990586   18.748486467752937  
    11.75   11.857901070080844    5.644572066369852e+40   23.435121828214662    32.40605659290334   31.782872243031115    30.73773128200738   28.040093606088767   22.942933070809957   26.189003817317598   25.195676198334017    24.37655897266854     23.7719762450307   22.048874810868206   23.265625724614274   23.031161339066145   22.073717484157726   21.787640617270114    21.09977686855631   20.292788728229645   19.811659362063455   19.463209499033887   19.158996019615532   18.867738710765426  
    12.25   12.362492604977902   5.1504150040877355e+40      23.553827781946    32.55276212993752   31.920790379784727   30.897397571804127    28.20309923916932    23.06124605271668    26.35215677439526   25.358826117274305   24.533169109045154   23.921083323015953   22.157330241075336   23.376086212518423   23.133484729554624   22.199777854174116   21.897391627128425    21.20782656866568   20.417331944157247   19.948065846919548    19.59991013491314   19.299569768879547   18.984100286798686  
    12.75    12.86708413987496    4.590741606122792e+40   23.696274065814535    32.69969340306111    32.06696492799236   31.048563598052745   28.355684821738333    23.20349388901818   26.504724843843796    25.51139864138529   24.690113254209297   24.057526583848492   22.305179384574767   23.533538025287903   23.288380117880727   22.305886584471715   22.021493002719524   21.384621274222308   20.577572817096602    20.06377144563758   19.693479998385705   19.432711621044803     19.1326776007618  
    13.25   13.371675674772016    3.960304016998626e+40    23.80282383085725    32.83483108570851   32.190214547738506   31.188897653409573   28.498653644444193   23.309731877736795   26.647903336340725   25.654577853220324   24.808328591762017   24.190695609747632   22.404658072483564   23.638763572588886    23.40454798509586   22.368005033410103   22.111759906862595   21.510049604415922   20.766441270211907    20.25551532616596   19.888100971749452   19.609966545990204   19.326241343075203  
    13.75   13.876267209669074   3.4804126818192256e+40     23.9229487429887    32.95796697119032    32.31537379134096   31.321941763333033   28.633540689944407   23.429790899445386    26.78270602146717    25.78938144626482   24.931477800488473    24.31904583045681   22.523118973388392    23.78396637400119   23.544076296987797   22.494961321763988   22.231114227796454   21.618378095373252   20.895371011182657    20.38867067631834   20.033650053167833   19.770066444420046    19.47964379094319  
    14.25   14.380858744566131   2.8351014644669385e+40   24.038740894729205    33.08454850683447     32.4326896405946   31.448798669315455   28.760722246379178   23.545193705840802   26.910009996025977   25.916679663773717   25.093643139941776   24.472634517244046   22.630770222619233    23.91680337090255    23.67015942629242    22.55048502294079   22.314681729255767   21.778175892501025   21.136269730162265   20.648883629686896   20.301480693895456   20.085353689860078   19.830954861400606  
    14.75   14.885450279463187   2.3516375060102117e+40   24.117057413702437   33.186535153574965    32.52267937051327    31.56489186357682   28.881271690620206    23.62329621490065    27.03055098859678   26.037226458980154   25.199079360310527    24.56398530800523   22.706645533401115    23.98838721656544   23.734949147139222   22.656706002197787   22.390068378857933   21.824836337028753   21.308988637586115   20.864853624424345    20.54832428063248   20.338414374476457    20.15911335694064  
    15.25   15.390041814360245    1.871751866164251e+40   24.227852530277715    33.31099711225353   32.653727648443116   31.681258937803342   28.995474131044386   23.733883594613715   27.144996418117675   26.151672917388947   25.299731608422142    24.67944132104011   22.816493478555625   24.109683873573623   23.869786942187233   22.657154356450455   22.469575112344454    22.06481584615392    21.57323475355362   21.165207654348027   20.857882810961627   20.687700279501687   20.499211802337346  
    15.75   15.894633349257303     1.49647548350981e+40   24.313479431255484   33.404981913172335   32.742410025456294   31.787578931182637    29.10461539508003   23.819284533398978    27.25391167684735   26.260583054529597   25.409230974984972    24.77223180022001   22.899028585131266   24.201211278996553   23.950526410482997   22.734616550539133   22.542096967335397   22.166562980179915   21.849813981762836    21.46619756963875   21.196051195794745   21.067135397315013    20.92802411251261  
    16.25    16.39922488415436   1.2270078146746874e+40   24.381251305407982    33.48535942587229    32.81387419764248   31.886716976584573   29.208350047103004     23.8867252133343   27.357774452981097   26.364449631179205    25.51949630259773   24.872085961996728   22.960970372988218   24.277894892997534    24.01860752528118   22.829971347262497    22.60999071868556    22.19566676026455   22.031228463901332   21.681678712279776   21.436921820949443   21.420008449392746    21.40613490620159  
    16.75   16.903816419051417   1.0128605993836497e+40     24.4769282353625   33.575978189201656   32.905075181061264    31.98523543765146   29.307642542097387   23.982372124305215   27.457033476976925   26.463706968961567    25.59280840160367   24.952660768974642   23.060019634842657   24.361629031339817   24.110038272787406   22.900608161138226   22.689946182770726   22.324277321323923   22.333245296531175   22.021388975299594   21.803317253951953    21.85348113319594    21.96600803232621  
    17.25   17.408407953948473    8.944659520094601e+39   24.543923527949456   33.665306252694556    32.97809253206607    32.07750895216281   29.402641524279463   24.049022412694868    27.55205762986054   26.558734570287427   25.713513607439907   25.049611423140576   23.120264166444276   24.459772111250317   24.198859653445517   22.933801716796417   22.738771959285913    22.41271189414523    22.56038340770634   22.349013011104056   22.204177545098204   22.243856013788005    22.28542105876291  
    17.75   17.912999488845532    8.222930960960417e+39   24.594757620392592   33.740204680550335    33.04454143409633    32.16427674114715   29.493571782467857    24.09956716272051    27.64320337962055   26.649869883094418   25.785993278647574   25.132526903326557     23.1651795639049    24.52161205798568      24.265263702099    22.97748901712393    22.77696980811406    22.44674685111743   22.606461049557605   22.373451980569335   22.216630881430206    22.32173849387823   22.469820846652986  
    18.25   18.417591023742588    7.661948695507858e+39   24.675049168606932    33.81869106382922    33.11770839080694    32.25044014451376   29.580917568256645    24.17964406794558    27.73073622855773   26.712697203460507    25.89781760970198    25.24291803954108   23.240932795065667   24.629310185757994   24.370093117983064     23.0554636080524    22.84564251492487   22.511147534960347   22.781082951536117   22.542245096767722    22.41032816439168   22.455331631126796   22.556547114201244  
    18.75   18.922182558639644    7.169197677640177e+39    24.76994963979014    33.91386455485529    33.21981269767638    32.33736055356162   29.665230808768023   24.274951565974053   27.814958872096263   26.821637712415068   25.963232511942664   25.274791484039817   23.347381566045414   24.698452728459017   24.434222108088598   23.157627975760633   22.954572129013798   22.631229795265455    22.85058628075307   22.604925844756778   22.449959771762853   22.516217986734958     22.6494567684274  
    19.25   19.426774093536704    6.644428758846699e+39   24.823057256751547    33.97321572455081    33.28038726432062    32.41531753855918   29.746416888928348    24.32819889133152   27.896083757905483    26.90276459857791   26.012072065697566   25.287280166616515   23.407744543982528   24.694995511295772   24.424525136247492    23.25111799231493   23.028862351999386   22.674343258489664   22.932616448741015   22.689709768475517   22.545926768616287    22.58978866858658   22.650159531448516  
    19.75    19.93136562843376    6.273190261860119e+39   24.942773825613695    34.08122095665854    33.39297828629442    32.49805573843504   29.824896313438963    24.44794408470075   27.974341429138576   26.981022422475323   26.103935841529605   25.411444785401095   23.527991602094637   24.845731175270608   24.584658823750352   23.349392609391508   23.142337447224065   22.812441893558592   23.039735234748804   22.814714256683573    22.69108179073836   22.752512145277695    22.85210623102349  
    20.25   20.435957163330816    5.908306369908171e+39   24.975451163051844   34.141941925137886    33.45195552343276   32.570792333294065   29.900205804326664   24.480605466906837   28.049906537194506   27.056591385674274    26.13993229237716   25.422826570664252     23.5639233880239   24.837486759890673   24.569970575407233    23.35277817302243   23.179571469596745    22.91012713777162   23.158266654243963   22.900486312136287   22.747406746252757    22.86067210412986   22.974521603463902  
    20.75   20.940548698227875    5.570537484730501e+39    25.07541439976451   34.215465757759446    33.52939518569217    32.64477547189332    29.97350556908224    24.58039740895695    28.12299816982202   27.129678857057733    26.29296970242961   25.555082087229255    23.65941009477754    25.00085739516284    24.73147781407674   23.446021358083236   23.256587870985634   22.966175153351678   23.192416174013957    22.94476203530305   22.792030225526013    22.87746252278759   22.987926539748415  
    21.25    21.44514023312493   5.3600737864030714e+39   25.134306665764992   34.282680344532665   33.599575744836216    32.71545615899889   30.044058312973245   24.639637962696114    28.19372522209835    27.20040373752385   26.251009806633895   25.556106133736343   23.726532830236287   24.996890392592586    24.74108700073386    23.55390805832259    23.33656893788178    23.03433672253862   23.347758388344282   23.086196739685807    22.93124100502596    22.98145529546835   23.057069421743318  
    21.75   21.949731768021987    5.000130902107513e+39   25.210834643857986    34.35023275563339    33.67025562013394     32.7854025478165    30.11239432508556   24.716302003227174    28.26225335471362   27.260215081865788   26.375574351032355    25.62656957196414   23.804459986968155   25.057370615107743   24.786802121168652   23.651654177447988   23.427057729889004   23.092977419050932   23.454619937728907   23.188188157258985   23.035426050289615    23.08166735393649   23.166678224644084  
    22.25   22.454323302919047    4.780141143184525e+39    25.26448188830637    34.43016746229823    33.74338800974092   32.851420134434136    30.17900667486997   24.770047535905533   28.328693317531094    27.33538834176272    26.43269821731702   25.663094092380295   23.861783602896875     25.0745997744019   24.795054456548318   23.711752516491867   23.507333175247965   23.170792890613072    23.43463256686982     23.1816441855099   23.042531916372436    23.12180281502565   23.281590645619715  
    22.75   22.958914837816103    4.497324539767481e+39   25.357404277753062    34.49857527173277    33.81946480767377     32.9189859596013    30.24335326728869   24.863179401090875   28.393194033319553   27.391085752113014     26.4475246926322   25.738853922415586    23.95845817708904   25.170799726441857   24.914689193957336   23.796982417896196   23.595183973101776   23.262884554525346     23.5844898999271   23.317055971954957   23.186072112984277    23.24527153765103    23.41313599537678  
    23.25    23.46350637271316    4.245504130316211e+39    25.39199397532387    34.54823298065858    33.86598370559617    32.97813266137422    30.30617570292539   24.897359133507038    28.45585119964192   27.432678309427878    26.55920520296069    25.81856008034994   23.983212164833127   25.219416458230114    24.94379866833631    23.81298806020824   23.612692797166744   23.319485361523924   23.628583598131353   23.375532081607023   23.224015521605306   23.281245553433184   23.341605932659643  
    23.75    23.96809790761022   4.0296633243195105e+39   25.476506431626074     34.6279143164654    33.95844830193062   33.043254510718754    30.36702830546854    24.98204468158894   28.516785049616328    27.52347650933036    26.62893948238021   25.868165729100156    24.07398303626805   25.278038974106696    25.00793237566106    23.85309656161457   23.710215398366138    23.50864559079565   23.734582655197357    23.54889028832749   23.429639449630898     23.4878234096822    23.46220748313109  
    24.25   24.472689442507274   3.8307935004738036e+39   25.562523114852322    34.69692181461312    34.04992975444359   33.106708474408215    30.42650821643384    25.06910625026729   28.576056284700904    27.58275186440676   26.604590529594105   25.830231884970726   24.191174131336936    25.27744135909106    25.00483121159829    24.02469549501494    23.85448263720359   23.594718260983846   23.782759758396306   23.535460985427587      23.353662585434   23.457294313161754   23.509879578737248  
    24.75   24.977280977404334    3.674979433731043e+39   25.628139585538896    34.76380417450539    34.09902505692625    33.16415299371491   30.484257445815864   25.134188025137785    28.63377484535443    27.64046326190659   26.715949039017996   25.973668558081844    24.23552773999117    25.39010600990806   25.118422672148633   24.075496241900986   23.893562415785524   23.622441213166454   23.879909601382362    23.55203240436321   23.364342302546135   23.410941590453554   23.539858827108525  
    25.25    25.48187251230139    3.479240956216958e+39   25.698448048064243    34.81952976603817    34.16289834347866    33.22197050636527   30.540672638308074    25.20469602230515   28.690009699554835     27.6967023661348    26.74860414955345     26.0228523906173   24.308899301170417    25.46173685159824   25.194421075596793   24.149832307632774    23.96208803945852   23.688584323705648   23.998075270376024   23.695199420680254    23.52492959303636    23.58906400526206   23.641958207054042  
    25.75   25.986464047198446   3.3435417945611936e+39    25.73935854959681    34.87864902802508      34.211632353012   33.274994539692955   30.595277698232664    25.24559567161812   28.744841818271222   27.751527801158126   26.830477603736384   26.054124270500118   24.352706698769506   25.501866323170713    25.23051795841601   24.182474619534553    23.99845321258111   23.737492010150717    24.02895816065782    23.76406330483197   23.612252506381168   23.683662249166915   23.771671788276596  
    26.25   26.491055582095505    3.206374087144902e+39   25.801987322496352    34.90695574286864    34.26198511169319   33.328832723051605   30.648923129467722    25.30842132830127    28.79831196153281   27.783346955146587   26.831723583646394   26.109763588610505    24.41592551275157   25.535866958541597    25.27734340166318   24.298255742246383    24.07727429117086   23.757283013255673   24.089954014659313   23.872367401800954   23.736342413258708    23.82153221662393   23.795444674267745  
    26.75    26.99564711699256    3.059469665409677e+39   25.845748662815403    34.97562087274993    34.31854720927781   33.381192747165244   30.701232590754667   25.352549972292316   28.850513804963633    27.85717709591892   26.864305872546744   26.083488405047074   24.479728532968483   25.554220959796478    25.27976483925326   24.344335605465286     24.1500069002905   23.864584731196693    24.16031809091818    23.91362229337363    23.76435508662989    23.84940908589007   23.944414962717495  
    27.25   27.500238651889617   2.9315158738812475e+39   25.928611025653446    35.04312216024629    34.39866933702285    33.43661987795312   30.751944145747974   25.435182149843325   28.901522233487732   27.908213988190983    26.97321149661522   26.215365079551944   24.550753942031314   25.657186581422486   25.390252866897455    24.39486614516055   24.214859220134272   23.936072657810193   24.287971496691757   24.021721088543888    23.88482724929591   23.891763881039044   23.817859394326298  
    27.75   28.004830186786677   2.8368227132490806e+39   25.988985282947382    35.10767864347001   34.464853869809694   33.488473653122526   30.802205449364518    25.49599915725372    28.95135497148135    27.94985787381507   27.035412558671432   26.225944349934974   24.616614813950605   25.629893045447208    25.33918331852039   24.534287058106468   24.334652376227538   24.025198914834622   24.351845861783936   24.062054607511108   23.898062606619067   23.962631088900764   24.058239739211132  
    28.25   28.509421721683733    2.720260271754672e+39    26.10242908506028    35.17756346167207    34.55797325996648   33.543935184800645   30.850669911892947   25.609993146643443   29.000058078311724   28.006769220772732    27.01494236163999   26.277427532399795   24.755267462685556    25.75495708303034   25.505342550642105    24.60308647062545   24.436931015317047   24.198282355030543   24.486420883089053   24.163865455734292   23.961250434385818    23.97325090878417   24.029814118305463  
    28.75    29.01401325658079   2.5614503890731095e+39   26.072291264676355    35.20953745129793   34.562196536178604   33.584513235038614   30.898295370294953   25.579379269977778   29.047714561277573    28.05442488680484    27.11336715751915   26.275373819259073   24.715930597431772    25.72278355835639   25.434278435430283    24.58771858457843    24.40292838630079    24.12591671176065   24.489048295249248   24.190212041127452    24.03254899574892   24.067470292400664   24.177800968473896  
    29.25    29.51860479147785   2.4433445535005423e+39    26.19275186097439    35.27968611603689    34.66891647553585    33.63998191382382   30.945158229151748     25.7009580655969   29.094361814766124   28.101063554281595   27.117906920937088   26.305355015306883   24.859329246702053    25.77531344755969   25.500875551348642   24.753263848612626   24.577639655908094   24.315838720729648   24.601240155484767   24.312024298360292    24.13775518467324   24.192671114534008    24.26753575155118  
    29.75   30.023196326374904    2.387663673930429e+39    26.22047317210361    35.31208570581188   34.693478304544286    33.68288861450714    30.99075650204828   25.728322802173103    29.14002521720819   28.113217473747255   27.165786414724597   26.370241039931052    24.87704358583219   25.822869243070315    25.54360332554584   24.784869818744383   24.596861472847387   24.311672872335887   24.636420996237653    24.35132836024205   24.221775821011626     24.2010419768681    24.17042227968009  
    30.25    30.52778786127196   2.2692576873831947e+39   26.267880643094422    35.36332981428423    34.74903386479856    33.72887217448449   31.035387179842647    25.77596464723182    29.18473886225094   28.191456007167474    27.20629892366538    26.38801056026826    24.92994018934301   25.834553467917175     25.5591099591172   24.836501421356783   24.661413754390477   24.385136661348493    24.73842751565219   24.435911862602552    24.27024107643383   24.316564465610632    24.40955751940405  
    30.75    31.03237939616902    2.192692982497682e+39   26.343669151506525   35.422620884933245   34.812081694700886    33.77547884752092   31.079195311767933   25.851940222994273   29.228575057859228   28.235288949223996    27.23076686702828   26.451714386194226   25.015229572418328    25.94339805797184   25.681900822901724   24.904829500865834   24.714382308455914    24.43822850698411    24.75462251327295    24.50029906984829     24.3645543256037    24.42973831727374   24.546218852994897  
    31.25   31.536970931066076    2.130522072479163e+39      26.383706702968    35.45297323964128   34.852849665231986   33.818128332248236    31.12248032596257   25.892208533351575    29.27154719536623   28.276315573628793    27.29226958387666   26.456310333852393    25.06266039044705    25.95137505464107   25.667475949031072   24.971008302921486    24.78537275280197    24.53202438294778   24.932146557089776    24.58177452245552    24.40827956469733   24.421000851625198   24.438526791203763  
    31.75    32.04156246596313    2.020600906402921e+39   26.436711219248117   35.508535885194625    34.91947056438807   33.862173999675704   31.164556209045507   25.945699810443685   29.313672791050994    28.32038840934891   27.264122910414194   26.465132884438404   25.129772956472937    25.95669497717202   25.687646955485555   25.035533191502168   24.877349777345078    24.64100898803018   24.940930043358097   24.607221571239794    24.42134185060619   24.486772074496155    24.69011486772875  
    32.25    32.54615400086019    1.971861079550685e+39   26.490014610971265    35.54108604684097    34.96574390733706    33.90415735068985   31.205825024638497   25.998965423625396    29.29955494898595   28.326465157086524    27.32473764856502   26.521673595600042   25.180241434079818   26.020008413138676   25.754078612290478    25.06636751089124   24.920622484355356   24.721445631644634   25.094945286375125   24.781894558315102   24.639666955458342   24.652744095773116   24.713592921329827  
    32.75    33.05074553575725   1.8978481999883965e+39   26.576553984932605    35.61991226518904   35.048620900401964    33.95063460812338   31.246664097492527   26.086048119274132    29.39559057733799   28.402310390546447   27.369681854429004   26.557212397573117   25.285430414009873    26.07609044529871    25.80439562172157    25.16454270083318   25.038404296152667    24.85480382072869    25.14509043135913   24.855240090256586    24.71029321551065   24.718744165719105    24.69663681984401  
    33.25     33.5553370706543   1.8226248848822988e+39   26.633064587778513   35.666598087735835     35.0987827258523    33.99133424324485   31.286318312957487   26.142785450598396   29.435421026066848   28.410534473678382   27.395020358666855    26.60545924422073    25.34929169333645    26.12965163294461    25.86629816272149    25.21392945244889   25.097485197169654   24.915037475831504   25.261280662330815    24.98456097426333   24.853799409896357    24.78353097670773   24.833623708923678  
    33.75    34.05992860555136    1.750755160381338e+39   26.661784386687767    35.71720634684925   35.137361586846716   34.030451496879195   31.325357779664927   26.171317949155963   29.474529036813927    28.48125552040169   27.453186420091427   26.642582744922173   25.371085636695142   26.153183086224224    25.89632745010412   25.214740997354557   25.118257006498595     25.0053672396347   25.270600151633367   24.990478278846403   24.808567205056377    24.88533295445085    24.94514196572875  
    34.25    34.56452014044842   1.7025863878065198e+39   26.693385227409976    35.75169629367539   35.179475133599794   34.069280002517104   31.363840990399993    26.20295362061335   29.512958887731877    28.51968170280703   27.478802741226062   26.668261895599652   25.401636146100998   26.162124851157746   25.890691211533102   25.257581193131323   25.177337569452114    25.07971139192665   25.374298430622325    25.06379480360323   24.880774047173663    24.89843839572396      24.927064251527  
    34.75   35.069111675345475   1.6348101999673346e+39   26.736541660129937    35.78798927550137    35.21952271581305    34.10738583565627    31.40172005253796   26.246414482854973    29.55072333264201     28.5574404063632   27.467996248780416    26.69099728588818   25.454285345005204   26.209501065777594    25.94822687900865   25.326394819681113   25.222884658470264    25.07927090070055    25.36707186787543   25.113924784682048   24.957706614636386   25.007512015878174   25.002240314785514  
