,lsstg,lssti,lsstr,lsstu,lssty,lsstz
30,-11.448727075654316,-13.463385418156129,-12.664681977306586,-9.665240743750877,-14.30105777153496,-14.034702201956172
31,-11.330948813712693,-13.354522930112067,-12.600585093157484,-9.572878079377734,-14.211535590381486,-13.988770726642239
32,-11.194168804624653,-13.263349464897408,-12.44238044175166,-9.32919744118088,-14.144399510338895,-13.874460504576554
33,-11.05527223780469,-13.214936951542315,-12.341561532623292,-9.136414309901875,-14.072832039737616,-13.783942021307308
34,-10.826123676725455,-13.079940499562682,-12.230689243330001,-8.875097882311561,-14.000874391242323,-13.712647801375626
35,-10.71702268999309,-13.032432755072286,-12.07434979749478,-8.972034955279312,-13.89920697399305,-13.593884068195072
36,-10.528655390191101,-12.92393469227634,-11.958217559942558,-8.58541729430429,-13.86135542213977,-13.492682836271415
37,-10.423404525609897,-12.756722416264818,-11.855518903298455,-8.208454551970707,-13.809444720224409,-13.452184682323997
38,-10.224279538969657,-12.735223255079294,-11.732121698117822,-8.432776895557868,-13.647684354859901,-13.367708184817415
39,-9.955446402164197,-12.579132699208074,-11.567043950471156,-7.998452493943523,-13.545128753708484,-13.234823917628383
40,-10.074299623815579,-12.509702504521247,-11.523753988129037,-7.727323806633298,-13.574508547533828,-13.205165040123346
41,-9.825239295481122,-12.423999985520371,-11.441933507613186,-7.457197186989976,-13.471445195858223,-13.117202943286108
42,-9.538196500590496,-12.320852779441822,-11.294235666448868,-7.39957511587391,-13.370262994767735,-13.02212644956853
43,-9.531089506590325,-12.258053925596233,-11.16539831211844,-7.0851417354755855,-13.333798229538047,-12.922461740697466
44,-9.280658611942394,-12.15375961125808,-10.973544406511825,-6.887850794670821,-13.227603572878637,-12.86113274080938
45,-9.150705916722597,-12.084932926757038,-10.960979696260784,-6.518409875862162,-13.129416157687068,-12.80568627770082
46,-8.914851830525691,-11.957197582373507,-10.793196364819885,-6.4637344247825315,-13.049082334015232,-12.69473397119933
47,-8.88363811724808,-11.88037254838305,-10.72693000698857,-6.318675067843003,-13.007926639398082,-12.607583897393777
48,-8.756658227111165,-11.791860975653046,-10.574705135556657,-5.885813820806613,-12.93542276907893,-12.541987643806308
49,-8.615227410443904,-11.672937709617681,-10.470208888273989,-6.102307423675209,-12.857154239570221,-12.469963731231346
50,-8.443544176456248,-11.637667336820364,-10.390656985449668,-5.740848386817241,-12.799948852878718,-12.400521510495462
51,-8.280229881185274,-11.556260146352146,-10.25324690086691,-5.488608168195145,-12.739812752911899,-12.324009159203303
52,-8.107463182872777,-11.395869233596894,-10.20918017729574,-5.066639305073453,-12.67632487679355,-12.228142632682932
53,-7.901986049623969,-11.373753539845646,-10.022849827679154,-4.9134639526317505,-12.578491045076438,-12.18024708278427
54,-7.798248160693536,-11.299410951564212,-9.95256789614423,-4.929944480919597,-12.530540924158275,-12.17745871707967
55,-7.706750584519863,-11.221515439790789,-9.879986710752526,-4.8492705753008,-12.475752347764374,-12.05140874792486
